method,scenario,true_state,day,n_paths,mean_q,median_q,q10,q25,q75,q90
ewma_student_t,jump_k5,valid,63,10000,0.46352283858056326,0.46150730693439723,0.2754355587684072,0.35834911666795743,0.5631665666023979,0.6559944731847566
ewma_student_t,jump_k5,valid,126,10000,0.4318906163237735,0.41934997636077015,0.18724228652768554,0.2837335255439399,0.5699456699483176,0.696380829038007
ewma_student_t,jump_k5,valid,252,10000,0.3805564300595825,0.34560078137423134,0.0918125269097212,0.18139098335453682,0.5558773948170271,0.7328757254108241
ewma_student_t,jump_k5,valid,504,10000,0.3023073460961333,0.21731136131331769,0.02736076277640641,0.07447115874890688,0.4826125038308511,0.7374950192629585
ewma_student_t,jump_k5,invalid,63,10000,0.5355669858863655,0.5389895731014085,0.3400953862805479,0.43283604957768196,0.6407020064635598,0.7247204089470322
ewma_student_t,jump_k5,invalid,126,10000,0.5688567730187164,0.5778424701870464,0.3050188272732081,0.43055530436275147,0.7176895302848988,0.8148594719018307
ewma_student_t,jump_k5,invalid,252,10000,0.6197272598607771,0.651612500236268,0.26968789474444077,0.4438996416178589,0.8185527198804639,0.9086330783768125
ewma_student_t,jump_k5,invalid,504,10000,0.6984539674967267,0.7882783326241729,0.2616475367952514,0.5157865376617461,0.9268850096902359,0.9748255820147484
binary_gaussian,sv_rho0,valid,63,10000,0.4715798377516416,0.4693466684433965,0.3195167103488701,0.38814219307748626,0.5538372531626494,0.6281081923997958
binary_gaussian,sv_rho0,valid,126,10000,0.4455880468231229,0.4392539506834259,0.2404478468272143,0.3296921549885662,0.5565441669402296,0.6627923725541505
binary_gaussian,sv_rho0,valid,252,10000,0.40242197725761764,0.3824285956501394,0.14678729237365098,0.24111310103207612,0.5478298522193138,0.6882731591526716
binary_gaussian,sv_rho0,valid,504,10000,0.32785175298258173,0.2749511244140517,0.0575400092860559,0.12505612366611282,0.49178745178096617,0.6935119615024952
binary_gaussian,sv_rho0,invalid,63,10000,0.532222905915566,0.533760813252691,0.37773891597282516,0.45089290454132736,0.6171005401110747,0.6845048626692888
binary_gaussian,sv_rho0,invalid,126,10000,0.5583080003494648,0.5637682271200688,0.3452495292672611,0.4469886357548265,0.6768924772091695,0.7624308637321631
binary_gaussian,sv_rho0,invalid,252,10000,0.605265307743828,0.6265481743669887,0.3198452583211733,0.4629160287801362,0.7664948211798785,0.8550352372589615
binary_gaussian,sv_rho0,invalid,504,10000,0.6793959943066161,0.7370537473955703,0.3149570814298793,0.519988502041963,0.8747649879267765,0.9428584705334135
binary_student_t,sv_rho0,valid,63,10000,0.46369753416140536,0.4613376967089794,0.30051667184866904,0.3737875669043472,0.5515139029941103,0.6309126394946328
binary_student_t,sv_rho0,valid,126,10000,0.43058714090445355,0.4212696260407934,0.2173166524722733,0.30507620623038423,0.5474627482788593,0.6603333278957062
binary_student_t,sv_rho0,valid,252,10000,0.3753042972470115,0.34969888472394084,0.11982861819070878,0.20586189594521703,0.5198812612258401,0.674018556734582
binary_student_t,sv_rho0,valid,504,10000,0.2859334079660488,0.21594828141413674,0.038375602087290885,0.09092438523420011,0.4333833435919312,0.6564669032289784
binary_student_t,sv_rho0,invalid,63,10000,0.5404481673176784,0.5424358789119603,0.37615511291472115,0.4543664776366676,0.6301686457973771,0.7006670736070774
binary_student_t,sv_rho0,invalid,126,10000,0.5729631298417571,0.5815245354110539,0.3442036047728961,0.4551866148919933,0.7004185624252041,0.7854779345371431
binary_student_t,sv_rho0,invalid,252,10000,0.6306732308710812,0.6620568601506742,0.33080563944686847,0.4835845575227389,0.7973685951732583,0.8834125070983538
binary_student_t,sv_rho0,invalid,504,10000,0.7193179599625362,0.7921513562868777,0.35329136160096164,0.5789677639006106,0.9097100564708951,0.9630323178793108
ewma_gaussian,sv_rho0,valid,63,10000,0.4682038671102695,0.4665476831458693,0.2861823495490075,0.3641714269149261,0.5687269324813484,0.6557743322256829
ewma_gaussian,sv_rho0,valid,126,10000,0.43924612650334854,0.42788120643658245,0.19751973669126105,0.2933978403663855,0.574604860384384,0.7009100154579273
ewma_gaussian,sv_rho0,valid,252,10000,0.39368635395293483,0.3638477966498857,0.10324280634355286,0.19890254803444118,0.566514275787348,0.7381930180851123
ewma_gaussian,sv_rho0,valid,504,10000,0.31995347740232066,0.2394945010797422,0.03273717071150107,0.08676178839130601,0.5129019519930391,0.7535885731608368
ewma_gaussian,sv_rho0,invalid,63,10000,0.5351655671473597,0.5379020905990881,0.35115801107728356,0.43506604858355646,0.637676073239357,0.7172308180491127
ewma_gaussian,sv_rho0,invalid,126,10000,0.5633487184338508,0.5729578991879285,0.30362371483060224,0.4294346451618162,0.7078426637952966,0.8020673857119401
ewma_gaussian,sv_rho0,invalid,252,10000,0.6124108513162267,0.6440252525118428,0.2700587392709563,0.44058606758416435,0.8065242663646364,0.896594786193275
ewma_gaussian,sv_rho0,invalid,504,10000,0.6877724023631306,0.7684804334023005,0.25705809203052116,0.5070104677249238,0.914926706703656,0.968374957039782
ewma_student_t,sv_rho0,valid,63,10000,0.4612945533626949,0.45885734153778335,0.28283806119875227,0.3641281595914361,0.5558557438169573,0.6419425152702118
ewma_student_t,sv_rho0,valid,126,10000,0.4261566108909395,0.41283577498333834,0.1945524829545284,0.2875297976652881,0.5544998850388484,0.6768358672775474
ewma_student_t,sv_rho0,valid,252,10000,0.3688632790727246,0.33427158994719897,0.09765607471953781,0.1826777511296897,0.5284680493202734,0.6984990672682411
ewma_student_t,sv_rho0,valid,504,10000,0.2800820562067102,0.19640103026035682,0.026779673078829915,0.0723881649355362,0.4384068821848848,0.6819127310605257
ewma_student_t,sv_rho0,invalid,63,10000,0.5424941828923288,0.545686724099726,0.3625568219156909,0.4484991664521174,0.6380716863476718,0.7173600467281189
ewma_student_t,sv_rho0,invalid,126,10000,0.5766635294815629,0.5899043294050745,0.3291799015452852,0.4465461282859314,0.715237163117841,0.8065498671573298
ewma_student_t,sv_rho0,invalid,252,10000,0.636237079365595,0.6722987419138562,0.30579215147940864,0.4766382218488536,0.8207016253890045,0.9037974971165252
ewma_student_t,sv_rho0,invalid,504,10000,0.7262291433415847,0.8098581494936821,0.3287288960531743,0.5805082914114514,0.9298324143039323,0.9740365183799969
binary_gaussian,sv_rho090,valid,63,5000,0.46817869303953613,0.4673163715707334,0.32001345781197793,0.38977148394510397,0.5450163553284177,0.6158758787435745
binary_gaussian,sv_rho090,valid,126,5000,0.4420174693685377,0.43719050431385287,0.23801650122973192,0.3266166144557867,0.5502168451342943,0.6516918065836483
binary_gaussian,sv_rho090,valid,252,5000,0.39436240826891794,0.37616794125338204,0.13806294501771973,0.23292580341897953,0.5375441955181125,0.6784318228172143
binary_gaussian,sv_rho090,valid,504,5000,0.317064010807933,0.25694211983479265,0.05426965900430077,0.11826317345308732,0.47691544063319047,0.6861290830938455
binary_gaussian,sv_rho090,invalid,63,5000,0.5277964753008061,0.5302655975870736,0.3780198916025075,0.4516255673143349,0.6048269853072719,0.674724428798247
binary_gaussian,sv_rho090,invalid,126,5000,0.5525196849597419,0.5593987539417342,0.34225000826618523,0.4438421142263908,0.6663470846036338,0.7535945935282232
binary_gaussian,sv_rho090,invalid,252,5000,0.5999478529912032,0.6225893142718357,0.32131948141849653,0.4557810995899149,0.763066034225227,0.8500365171256007
binary_gaussian,sv_rho090,invalid,504,5000,0.6743855997021231,0.7321037570692929,0.2997862623769483,0.5105645389231717,0.8754899615077215,0.942706086483154
binary_student_t,sv_rho090,valid,63,5000,0.4597148025841834,0.45610360939892813,0.2993489852722862,0.3709017275886591,0.5442438637150557,0.6250162638738623
binary_student_t,sv_rho090,valid,126,5000,0.4262519636403372,0.4156367577984543,0.2158318321038136,0.2977354594075047,0.5419828274842681,0.6563481539319899
binary_student_t,sv_rho090,valid,252,5000,0.36889315590213384,0.34386281722807205,0.10907328417965076,0.19953943004866287,0.508830914660128,0.6748080845034723
binary_student_t,sv_rho090,valid,504,5000,0.277670747975739,0.20519687472170425,0.03706519817004602,0.08556027230678775,0.4204366962252596,0.6490573500478445
binary_student_t,sv_rho090,invalid,63,5000,0.5350854338918932,0.5380163884152711,0.3700204058277902,0.4468639175942156,0.6226613928097787,0.6986144440835015
binary_student_t,sv_rho090,invalid,126,5000,0.5680496261880651,0.57865574979482,0.34098869807846266,0.4465964324831328,0.6954929953049462,0.7814753256851931
binary_student_t,sv_rho090,invalid,252,5000,0.6262377601433001,0.6585474114540946,0.3228502714683548,0.47337017385818553,0.7973339369615746,0.8821070263893107
binary_student_t,sv_rho090,invalid,504,5000,0.7156877135271796,0.7829698881181559,0.34658647565641243,0.5674149980310172,0.9130072585788581,0.9614841064202767
ewma_gaussian,sv_rho090,valid,63,5000,0.45907266123320667,0.4552260027126369,0.2743062043871244,0.3573995290914581,0.5583099413663879,0.6442120664528811
ewma_gaussian,sv_rho090,valid,126,5000,0.4234447246051454,0.41438406688202534,0.17239599873752878,0.2735207647454085,0.564876397799408,0.6919188658377095
ewma_gaussian,sv_rho090,valid,252,5000,0.36422210644631053,0.32351521512203096,0.0727348990114684,0.15673160892124025,0.5462155222662827,0.7275608745796106
ewma_gaussian,sv_rho090,valid,504,5000,0.2770410316755823,0.1736721611592456,0.01643871562137754,0.05201820553514123,0.4600648321903813,0.713533471378859
ewma_gaussian,sv_rho090,invalid,63,5000,0.5374231997629174,0.5373669511450683,0.35061414441159555,0.4392874856774862,0.639468971022295,0.7217032820621067
