scenario,method,true_state,day,n_paths,mean_q,median_q,q10,q90
sv_jump_big,binary_gaussian,valid,63,10000,0.4716747295731474,0.47010730258150624,0.33011895835121297,0.6138197548470076
sv_jump_big,binary_gaussian,valid,126,10000,0.4461057106529502,0.44240445881840257,0.2480074502654394,0.6492458708270964
sv_jump_big,binary_gaussian,valid,252,10000,0.3980144720670605,0.380266890321007,0.14894375984399408,0.6747595166281232
sv_jump_big,binary_gaussian,valid,504,10000,0.3266234714120942,0.27543196180568097,0.05800548721296619,0.6809096261058191
sv_jump_big,binary_gaussian,invalid,63,10000,0.530091759935995,0.5309454749029716,0.38830970400647014,0.6715005086175608
sv_jump_big,binary_gaussian,invalid,126,10000,0.5564713255550844,0.562648431152825,0.3567328849196428,0.7503451340942271
sv_jump_big,binary_gaussian,invalid,252,10000,0.600683147704082,0.6168961201914605,0.32041778992371367,0.8490102865159291
sv_jump_big,binary_gaussian,invalid,504,10000,0.6778000893588222,0.7321767796445031,0.3272461949555173,0.9414541549834997
sv_jump_big,binary_student_t,valid,63,10000,0.45890058719966426,0.454197551053001,0.31385487459279804,0.6078227171237228
sv_jump_big,binary_student_t,valid,126,10000,0.42126636725952304,0.4101482422574787,0.22991377468135912,0.6295556554974566
sv_jump_big,binary_student_t,valid,252,10000,0.3556645238671466,0.3255221268525999,0.1266711428786964,0.6319352392477013
sv_jump_big,binary_student_t,valid,504,10000,0.25967186436916667,0.19670986040851346,0.03999966879800501,0.5882692346683943
sv_jump_big,binary_student_t,invalid,63,10000,0.5415213211344099,0.5448905054749438,0.3876744963220622,0.689083267800085
sv_jump_big,binary_student_t,invalid,126,10000,0.5793616981010138,0.58916051898728,0.37330873752083626,0.7698910248589826
sv_jump_big,binary_student_t,invalid,252,10000,0.642759139267262,0.6696189900027243,0.3682646576451406,0.8739413720833934
sv_jump_big,binary_student_t,invalid,504,10000,0.742035052491378,0.8066232183796443,0.40946351849037355,0.9588891447517397
