scenario,method,arm,far_target,threshold,first_eligible_day,far_alarms,far_lo,far_hi,far_d63,detect_d63,far_d126,detect_d126,far_d252,detect_d252,far_d504,detect_d504,trunc_mean_detect_days,trunc_mean_detect_se,median_detect_days,median_detect_note,undetected_at_H,n_test_valid,n_test_invalid
sv_jump,binary_student_t,per_scenario,0.05,-1.9513411793267041,1,414,0.03766836746394034,0.04548383584164423,0.0002,0.0006,0.0032,0.023,0.0173,0.1641,0.0414,0.4732,410.9247,1.2402983419277391,,not reached within 504d,0.5267999999999999,10000,10000
sv_jump,trailing_sharpe_252,per_scenario,0.05,-1.518616812385429,252,386,0.03499807820817167,0.042556275488288685,0.0,0.0,0.0,0.0,0.0036,0.068,0.0386,0.3067,452.5655,0.8942987241385283,,not reached within 504d,0.6933,10000,10000
sv_jump,known_vol_rolling_252,per_scenario,0.05,-1.6647908045967135,252,388,0.035188641958211225,0.04276555813890086,0.0,0.0,0.0,0.0,0.0056,0.0479,0.0388,0.2111,468.6802,0.7795377352662733,,not reached within 504d,0.7888999999999999,10000,10000
sv_jump,ewma_gaussian,per_scenario,0.05,-3.4792325643102897,1,443,0.040439129328723934,0.0485108467863107,0.0007,0.001,0.0038,0.0273,0.0158,0.1452,0.0443,0.4018,423.3109,1.2285228247582929,,not reached within 504d,0.5982000000000001,10000,10000
sv_jump,ewma_student_t,per_scenario,0.05,-2.769415851309927,1,414,0.03766836746394034,0.04548383584164423,0.0002,0.0029,0.0038,0.0666,0.0174,0.2467,0.0414,0.5646,378.1092,1.428452048569187,445,,0.4354,10000,10000
sv_jump,ewma_trunc_gaussian,per_scenario,0.05,-3.7455996454040017,1,450,0.04110865767535974,0.04924078084195594,0.0008,0.001,0.0047,0.028,0.0164,0.1405,0.045,0.3928,426.291,1.2135375310364007,,not reached within 504d,0.6072,10000,10000
sv_jump,ewma_trunc_student_t,per_scenario,0.05,-2.856088791863527,1,414,0.03766836746394034,0.04548383584164423,0.0001,0.0026,0.0036,0.0682,0.0176,0.2612,0.0414,0.5803,373.4836,1.4396450364194253,431,,0.41969999999999996,10000,10000
sv_jump,binary_gaussian,per_scenario,0.15,-1.343825447491082,1,1342,0.1276594008360816,0.14102153237190543,0.0107,0.0218,0.0343,0.0877,0.0739,0.2753,0.1342,0.5603,368.7655,1.5157484027031103,440,,0.4397,10000,10000
sv_jump,binary_student_t,per_scenario,0.15,-1.2715559290766394,1,1366,0.13000839283267326,0.14347069718313446,0.009,0.0272,0.0381,0.1513,0.0835,0.409,0.1366,0.6941,318.3065,1.595332493354108,310,,0.30589999999999995,10000,10000
sv_jump,trailing_sharpe_252,per_scenario,0.15,-0.9353804243167815,252,1352,0.1286380619197146,0.142042103291531,0.0,0.0,0.0,0.0,0.0203,0.1793,0.1352,0.5781,398.6051,1.0804575578209563,437,,0.42190000000000005,10000,10000
sv_jump,known_vol_rolling_252,per_scenario,0.15,-0.9642571709888427,252,1323,0.1258002861754433,0.13908210622635225,0.0,0.0,0.0,0.0,0.022,0.1519,0.1323,0.5075,412.2468,1.06290816459026,496,,0.49250000000000005,10000,10000
sv_jump,ewma_gaussian,per_scenario,0.15,-2.177898478006957,1,1358,0.12922531740030382,0.14265438701289698,0.0034,0.0091,0.0225,0.119,0.0687,0.3473,0.1358,0.6359,342.0082,1.5583727942480854,363,,0.3641,10000,10000
sv_jump,ewma_student_t,per_scenario,0.15,-1.7817128819635761,1,1353,0.12873593477957124,0.14214415363200028,0.0051,0.0401,0.0352,0.2066,0.0808,0.4735,0.1353,0.7586,291.2582,1.607712246374554,268,,0.24139999999999995,10000,10000
sv_jump,ewma_trunc_gaussian,per_scenario,0.15,-2.2633941527091204,1,1397,0.13304353543799002,0.1466331737879195,0.0046,0.0109,0.0253,0.1197,0.0736,0.3523,0.1397,0.6459,339.3782,1.557650282931439,356,,0.35409999999999997,10000,10000
sv_jump,ewma_trunc_student_t,per_scenario,0.15,-1.8499432676487935,1,1340,0.12746368340999475,0.1408174033973405,0.0041,0.0371,0.0344,0.2098,0.0794,0.4841,0.134,0.7651,288.1793,1.6014695144184175,262,,0.2349,10000,10000
sv_jump_big,ewma_gaussian,legacy_threshold,0.05,-2.716929175661829,1,1421,0.1353941002201034,0.1490807658136269,0.0064,0.0096,0.0244,0.0998,0.0743,0.3223,0.1421,0.6052,353.4796,1.5336461278367128,388,,0.39480000000000004,10000,10000
sv_jump_big,ewma_student_t,legacy_threshold,0.05,-2.9295472492107932,1,354,0.0319529181589372,0.039203893127095484,0.0001,0.0035,0.0032,0.0707,0.014,0.275,0.0354,0.6049,366.0289,1.4419015342534482,407,,0.3951,10000,10000
sv_jump_big,ewma_trunc_gaussian,legacy_threshold,0.05,-2.716929175661829,1,1609,0.1538287533963665,0.16823167429862632,0.0085,0.0148,0.0337,0.1197,0.0884,0.3569,0.1609,0.6426,339.3974,1.5635877807142138,357,,0.35740000000000005,10000,10000
sv_jump_big,ewma_trunc_student_t,legacy_threshold,0.05,-2.9295472492107932,1,423,0.03852772656784895,0.046423785540668394,0.0001,0.0035,0.0041,0.0896,0.0186,0.3286,0.0423,0.6589,346.267,1.4810209969542438,362,,0.34109999999999996,10000,10000
sv_jump_big,ewma_gaussian,legacy_threshold,0.15,-1.7486128807272068,1,2613,0.25278186051937607,0.27000146030278477,0.0195,0.0503,0.0819,0.2563,0.1711,0.5269,0.2613,0.7564,275.9016,1.6578219413142383,237,,0.24360000000000004,10000,10000
sv_jump_big,ewma_student_t,legacy_threshold,0.15,-1.8676400867598089,1,1208,0.11455775995301061,0.12733346441131055,0.0044,0.0428,0.0325,0.2206,0.0761,0.5161,0.1208,0.788,278.1245,1.5807358642614069,244,,0.21199999999999997,10000,10000
