day,path_index,return,true_variance,forecast_variance,ratio_forecast_over_true,qlike
193,0,-0.0023893077954170784,1.6112879836012803e-05,9.78285357081944e-06,0.6071449467992959,0.14806543038531572
194,0,-0.00729673528018476,1.8287248582469323e-05,9.597660197821472e-06,0.5248280054016471,0.2607014471208451
195,0,-0.0017104827765301214,1.1650369904991497e-05,1.2392435179216599e-05,1.0636945676640852,0.0018677844442436253
196,0,-0.002991570577548949,9.413460576768027e-06,1.1867521984519033e-05,1.2606970505413826,0.024876759824558947
197,0,-0.0017403715594892523,1.1379651336674288e-05,1.1766030263502791e-05,1.0339534943028774,0.0005512865081336304
198,0,-0.0031308441483301743,8.428324165800586e-06,1.128560151161393e-05,1.3390089523854873,0.03875074895407682
199,0,-0.002588767145261186,1.0284100555641152e-05,1.1273502490012152e-05,1.0962069486794623,0.004092501484599165
200,0,4.2491809701002465e-05,9.382319350273869e-06,1.106319462947034e-05,1.1791534924834346,0.01286281386608823
201,0,-0.0005283780004702236,1.0784642699838765e-05,1.0400861631114317e-05,0.9644141137165179,0.0006644707209184642
202,0,0.000943579363466816,1.1701149999711679e-05,9.808503416446421e-06,0.8382512331427344,0.01652234949232745
203,0,0.006864618807102983,1.1383271315108942e-05,9.253309612982107e-06,0.8128866787792582,0.02302020548262451
204,0,0.009145589058360824,1.4992816276524438e-05,1.1364409269215562e-05,0.7579902974606452,0.04219340711701536
205,0,0.0002229106269470211,1.0930102797721473e-05,1.5485662602023506e-05,1.416790206698852,0.0542146972244002
206,0,0.002119605985940824,1.0247602783420958e-05,1.4556558854812242e-05,1.4204842988608528,0.05498312304741648
207,0,-0.003008810421820491,1.3244062697975555e-05,1.3904624342406094e-05,1.0498760583889044,0.0011655019198431038
208,0,-0.0035267097438720935,9.547289123935005e-06,1.3687523690439227e-05,1.4336555133880542,0.057745118390755135
209,0,0.0015801334100201242,8.989658742119384e-06,1.3698864501613703e-05,1.5238469996007975,0.077471919182313
210,0,-0.0013391248184480159,6.866822917773196e-06,1.2991481759009977e-05,1.8919203122865607,0.16615583988135496
211,0,-0.00022781470267651082,6.432103237753444e-06,1.235383415041463e-05,1.920652342441177,0.17332132424618552
212,0,0.00021212512642905737,7.184060028695831e-06,1.1623504289236107e-05,1.617957567560331,0.09922777347717493
213,0,0.00013978564652147553,5.77900951799444e-06,1.0926105313722866e-05,1.8906536283945565,0.16584021522391668
214,0,-0.002598731798471321,7.42354250967404e-06,1.02707452227723e-05,1.3835369312411034,0.047428401267012754
215,0,0.0036012041635897795,8.01638382194392e-06,1.0123941549592876e-05,1.2629062897262682,0.02524003206966463
216,0,-0.002621682434241176,6.729641712771417e-06,1.0211244441946223e-05,1.5173533566530697,0.07600987408751192
217,0,0.003866732483467553,6.799473326256043e-06,1.0075745968862533e-05,1.4818421200293888,0.06812171355639296
218,0,-1.6204357521594587e-05,7.672635303204684e-06,1.0278595413456275e-05,1.3396434220147466,0.03887076946043777
219,0,0.0018459345585438963,7.196160546194017e-06,9.664643317490773e-06,1.3430277514587017,0.0395128332651169
220,0,0.0014277388571074007,7.0137827238447635e-06,9.247624415217936e-06,1.3184931411945195,0.03493108872234196
221,0,-0.0002550616490354562,6.089057241414161e-06,8.783441518571924e-06,1.4424961320501566,0.05961779806437839
222,0,0.002990991909629057,9.311718856336845e-06,8.26877336648522e-06,0.8879964584474245,0.007343093166734205
223,0,0.0042433081534253535,1.3714487788392382e-05,8.240556883551174e-06,0.6008650859367701,0.15488225759910224
224,0,0.0015241358460422578,1.3404780389835218e-05,8.727794225057027e-06,0.651095651792645,0.10677392665900731
225,0,0.0024808572058664232,8.326479145562985e-06,8.309579083403255e-06,0.9979703231264639,2.0653811498849706e-06
226,0,-0.00015742019051695035,7.578687905994182e-06,8.1235775141754e-06,1.0718976180230684,0.0023554729391086493
227,0,-3.5206566619778494e-06,6.958657860990916e-06,7.643759886015517e-06,1.098453184322392,0.004274063423553853
228,0,0.0053423148322493536,6.651697588872832e-06,7.187580917648088e-06,1.0805633932714709,0.0029257243988551895
229,0,0.002557734011627356,5.631107808838e-06,8.343909812338562e-06,1.4817528087888552,0.06810211640548958
230,0,-0.00010957216408233131,5.721874642207114e-06,8.177259047137585e-06,1.4291223695846906,0.05679067127702342
231,0,-0.0038943914457354525,5.291310838181986e-06,7.692314784840894e-06,1.4537635417925772,0.06202551461149142
232,0,0.003146133662904351,6.184720821305965e-06,8.235838643491818e-06,1.3316427501658417,0.03736549087480867
233,0,-0.0020565656507194755,7.878574902629083e-06,8.263031857952525e-06,1.0487977787956486,0.001117188031522609
234,0,-0.003266718086260162,1.0805463644886915e-05,8.072345587778666e-06,0.7470614730723244,0.046970125755991354
235,0,0.005113408752156509,9.468949505163432e-06,8.3084327338052e-06,0.8774397549880902,0.0089324033299929
236,0,-0.0011769554327141743,1.1356406781487234e-05,9.259357942275924e-06,0.8153422222749334,0.022331511631430878
237,0,-0.002451836068571208,1.0525341060701635e-05,8.817294715506535e-06,0.8377205702556836,0.01664478243643419
238,0,0.0034646593122755333,1.154439531621297e-05,8.709686144190126e-06,0.7544514810540338,0.043701973673587524
239,0,0.0009116555259138491,1.0825853839773184e-05,8.827206992092946e-06,0.8153820587954554,0.02232044791408705
240,0,0.0006797970905521208,9.563778775164807e-06,8.328097492426278e-06,0.8707957061964521,0.010027097556047027
241,0,0.00015194175904829446,9.531979489847633e-06,7.842315498860426e-06,0.8227373450827457,0.02033646036302783
