detector,day,bin_low,bin_high,n,mean_predicted_q,observed_invalid_frac,gap,scenario
ewma_gaussian,252,0.0,0.1,3710,0.03642426939089214,0.18571428571428572,-0.1492900163233936,sv_jump_big
ewma_gaussian,252,0.1,0.2,1879,0.1480682014065509,0.27408195848855776,-0.12601375708200688,sv_jump_big
ewma_gaussian,252,0.2,0.30000000000000004,1563,0.24911633528300206,0.3653230966090851,-0.11620676132608301,sv_jump_big
ewma_gaussian,252,0.30000000000000004,0.4,1412,0.35098803902849185,0.40509915014164305,-0.0541111111131512,sv_jump_big
ewma_gaussian,252,0.4,0.5,1362,0.45162484664000196,0.45741556534508077,-0.005790718705078801,sv_jump_big
ewma_gaussian,252,0.5,0.6000000000000001,1451,0.5501743117410544,0.5430737422467264,0.007100569494327913,sv_jump_big
ewma_gaussian,252,0.6000000000000001,0.7000000000000001,1419,0.6509764456857015,0.5898520084566596,0.06112443722904182,sv_jump_big
ewma_gaussian,252,0.7000000000000001,0.8,1641,0.7500410545658938,0.6483851310176721,0.10165592354822162,sv_jump_big
ewma_gaussian,252,0.8,0.9,1900,0.8512844696651074,0.7194736842105263,0.13181078545458114,sv_jump_big
ewma_gaussian,252,0.9,1.0,3663,0.9637504661837699,0.8119028119028119,0.15184765428095803,sv_jump_big
ewma_gaussian,504,0.0,0.1,5964,0.0236588881994508,0.14621059691482227,-0.12255170871537147,sv_jump_big
ewma_gaussian,504,0.1,0.2,1403,0.14561517643815294,0.29223093371347114,-0.1466157572753182,sv_jump_big
ewma_gaussian,504,0.2,0.30000000000000004,994,0.2508244916886368,0.3561368209255533,-0.10531232923691652,sv_jump_big
ewma_gaussian,504,0.30000000000000004,0.4,827,0.35138405613352436,0.4280532043530834,-0.07666914821955906,sv_jump_big
ewma_gaussian,504,0.4,0.5,740,0.4508537356686698,0.48243243243243245,-0.031578696763762626,sv_jump_big
ewma_gaussian,504,0.5,0.6000000000000001,778,0.5494938464555816,0.5154241645244216,0.03406968193116,sv_jump_big
ewma_gaussian,504,0.6000000000000001,0.7000000000000001,819,0.6505449957043867,0.57997557997558,0.0705694157288067,sv_jump_big
ewma_gaussian,504,0.7000000000000001,0.8,945,0.7522703783948816,0.6158730158730159,0.13639736252186574,sv_jump_big
ewma_gaussian,504,0.8,0.9,1416,0.851797775945145,0.711864406779661,0.13993336916548405,sv_jump_big
ewma_gaussian,504,0.9,1.0,6114,0.976036283176906,0.8483807654563298,0.12765551772057626,sv_jump_big
binary_student_t,63,0.0,0.1,2,0.09303191005226302,0.0,0.09303191005226302,sv_jump_big
binary_student_t,63,0.1,0.2,87,0.17322375954403182,0.19540229885057472,-0.0221785393065429,sv_jump_big
binary_student_t,63,0.2,0.30000000000000004,906,0.2641635461467355,0.20309050772626933,0.06107303842046616,sv_jump_big
binary_student_t,63,0.30000000000000004,0.4,3303,0.35763136985051247,0.3030578262185892,0.054573543631923294,sv_jump_big
binary_student_t,63,0.4,0.5,5717,0.4518165800895097,0.4033584047577401,0.048458175331769604,sv_jump_big
binary_student_t,63,0.5,0.6000000000000001,5686,0.547611562365983,0.5877594090749209,-0.040147846708937895,sv_jump_big
binary_student_t,63,0.6000000000000001,0.7000000000000001,3237,0.6423799762250637,0.7136237256719185,-0.07124374944685474,sv_jump_big
binary_student_t,63,0.7000000000000001,0.8,966,0.7376863258305884,0.7877846790890269,-0.05009835325843859,sv_jump_big
binary_student_t,63,0.8,0.9,95,0.828629660597802,0.8210526315789474,0.0075770290188545975,sv_jump_big
binary_student_t,63,0.9,1.0,1,0.9104414807427538,1.0,-0.08955851925724623,sv_jump_big
binary_student_t,126,0.0,0.1,57,0.08187206138663422,0.08771929824561403,-0.00584723685897981,sv_jump_big
binary_student_t,126,0.1,0.2,632,0.1642808162848267,0.1281645569620253,0.03611625932280138,sv_jump_big
binary_student_t,126,0.2,0.30000000000000004,2008,0.2557710810075059,0.17181274900398405,0.08395833200352185,sv_jump_big
binary_student_t,126,0.30000000000000004,0.4,3362,0.3525976750217689,0.2587745389649018,0.0938231360568671,sv_jump_big
binary_student_t,126,0.4,0.5,3945,0.4509474092994229,0.4159695817490494,0.034977827550373486,sv_jump_big
binary_student_t,126,0.5,0.6000000000000001,3931,0.5490897989210166,0.587127957262783,-0.03803815834176638,sv_jump_big
binary_student_t,126,0.6000000000000001,0.7000000000000001,3309,0.6475047095782193,0.738591719552735,-0.09108700997451569,sv_jump_big
binary_student_t,126,0.7000000000000001,0.8,2047,0.743324726289371,0.8148510014655593,-0.07152627517618837,sv_jump_big
binary_student_t,126,0.8,0.9,667,0.837083698149324,0.8980509745127436,-0.06096727636341959,sv_jump_big
binary_student_t,126,0.9,1.0,42,0.9236571787869495,0.9285714285714286,-0.0049142497844790745,sv_jump_big
binary_student_t,252,0.0,0.1,605,0.0707418101053096,0.04297520661157025,0.02776660349373935,sv_jump_big
binary_student_t,252,0.1,0.2,1984,0.15355622218922327,0.08568548387096774,0.06787073831825553,sv_jump_big
binary_student_t,252,0.2,0.30000000000000004,2449,0.249418138395731,0.15108207431604737,0.09833606407968362,sv_jump_big
