scenario,method,far_target,n_valid_paths,n_first_alarms,far_total,window_days,p_label_theory,mean_usable_lookback_days,n_on_label_day,share_on_label_day,prob_on_label_day,share_on_label_day_theory,prob_on_label_day_theory,n_within_window,share_within_window,prob_within_window,share_within_window_theory,prob_within_window_theory,n_elsewhere,share_elsewhere,prob_elsewhere,share_elsewhere_theory,prob_elsewhere_theory,share_sum,prob_sum,class2_asymptotic_theory
sv_jump,ewma_trunc_gaussian,0.15,10000,1397,0.1397,20,0.007905097010013639,20.0,464,0.33214030064423766,0.0464,0.007905097010013639,0.0011043420522989054,186,0.13314244810307801,0.0186,0.1456131780993721,0.02034216098048228,747,0.5347172512526843,0.0747,0.8464817248906142,0.1182534969672188,1.0,0.1397,0.14561317809937208
sv_jump,ewma_trunc_student_t,0.05,10000,414,0.0414,20,0.007905097010013639,20.0,2,0.004830917874396135,0.0002,0.007905097010013639,0.00032727101621456465,50,0.12077294685990338,0.005,0.14561317809937213,0.006028385573314006,362,0.8743961352657005,0.0362,0.8464817248906142,0.035044343410471426,1.0,0.041400000000000006,0.14561317809937208
sv_jump,ewma_trunc_student_t,0.15,10000,1340,0.134,20,0.007905097010013639,20.0,14,0.010447761194029851,0.0014,0.007905097010013639,0.0010592829993418278,152,0.11343283582089553,0.0152,0.14561317809937213,0.019512165865315866,1174,0.8761194029850746,0.1174,0.8464817248906142,0.11342855113534231,1.0,0.134,0.14561317809937208
sv_jump_big,binary_student_t,0.05,10000,369,0.0369,20,0.007905097010013639,20.0,3,0.008130081300813009,0.0003,0.007905097010013639,0.0002916980796695033,55,0.14905149051490515,0.0055,0.14561317809937213,0.005373126271866832,311,0.8428184281842819,0.0311,0.8464817248906142,0.03123517564846367,1.0,0.0369,0.14561317809937208
sv_jump_big,binary_student_t,0.15,10000,1311,0.1311,20,0.007905097010013639,20.0,13,0.009916094584286803,0.0013,0.007905097010013639,0.001036358218012788,175,0.13348588863463004,0.0175,0.1456131780993721,0.019089887648827682,1123,0.8565980167810832,0.1123,0.8464817248906142,0.11097375413315952,1.0,0.1311,0.14561317809937208
sv_jump_big,ewma_gaussian,0.05,10000,422,0.0422,20,0.007905097010013639,20.0,299,0.7085308056872038,0.0299,0.007905097010013639,0.0003335950938225756,14,0.03317535545023697,0.0014,0.14561317809937213,0.006144876115793504,109,0.25829383886255924,0.0109,0.8464817248906142,0.03572152879038392,1.0,0.0422,0.14561317809937208
sv_jump_big,ewma_gaussian,0.15,10000,1301,0.1301,20,0.007905097010013639,20.0,744,0.5718677940046119,0.0744,0.007905097010013639,0.0010284531210027743,66,0.05073020753266718,0.0066,0.1456131780993721,0.01894427447072831,491,0.377401998462721,0.0491,0.8464817248906142,0.1101272724082689,1.0,0.1301,0.14561317809937208
sv_jump_big,ewma_student_t,0.05,10000,409,0.0409,20,0.007905097010013639,20.0,3,0.007334963325183374,0.0003,0.007905097010013639,0.00032331846770955783,24,0.05867970660146699,0.0024,0.1456131780993721,0.005955578984264319,382,0.9339853300733496,0.0382,0.8464817248906142,0.03462110254802612,1.0,0.0409,0.14561317809937208
sv_jump_big,ewma_student_t,0.15,10000,1361,0.1361,20,0.007905097010013639,20.0,6,0.00440852314474651,0.0006,0.007905097010013639,0.0010758837030628563,80,0.05878030859662013,0.008,0.1456131780993721,0.019817953539324543,1275,0.9368111682586333,0.1275,0.8464817248906142,0.1152061627576126,1.0,0.1361,0.14561317809937208
sv_jump_big,ewma_trunc_gaussian,0.05,10000,430,0.043,20,0.007905097010013639,20.0,288,0.6697674418604651,0.0288,0.007905097010013639,0.00033991917143058646,49,0.11395348837209303,0.0049,0.1456131780993721,0.006261366658273,93,0.21627906976744185,0.0093,0.8464817248906142,0.03639871417029641,1.0,0.043,0.14561317809937208
sv_jump_big,ewma_trunc_gaussian,0.15,10000,1332,0.1332,20,0.007905097010013639,20.0,756,0.5675675675675675,0.0756,0.007905097010013639,0.0010529589217338168,130,0.09759759759759759,0.013,0.1456131780993721,0.019395675322836366,446,0.33483483483483484,0.0446,0.8464817248906142,0.11275136575542982,1.0,0.1332,0.14561317809937208
