scenario,method,arm,far_target,threshold,first_eligible_day,far_alarms,far_lo,far_hi,in_stage2c_coverage,far_d63,detect_d63,detect_d63_lo,detect_d63_hi,far_d126,detect_d126,detect_d126_lo,detect_d126_hi,far_d252,detect_d252,detect_d252_lo,detect_d252_hi,far_d504,detect_d504,detect_d504_lo,detect_d504_hi,trunc_mean_detect_days,trunc_mean_detect_se,median_detect_days,median_detect_note,undetected_at_H,n_test_valid,n_test_invalid
jump_ctrl,known_vol_rolling_252,diagnostic,0.15,-0.9898780505313091,252,1407,0.13402285603450767,0.1476530851946605,True,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0242,0.1533,0.1463719445908643,0.16049431987936283,0.1407,0.526,0.5162053285435211,0.5357747035412037,409.9878,1.0658277083968115,481,,0.474,10000,10000
jump_ctrl,ewma_gaussian,diagnostic,0.15,-1.6937741340096961,1,1361,0.12951896158898943,0.142960512425189,True,0.0007,0.0033,0.002350823409618217,0.004630640571811913,0.0175,0.069,0.06419609058845041,0.07413491600707284,0.0687,0.2681,0.25950820779898925,0.27686989064533046,0.1361,0.5379,0.5281156856983038,0.547655207225199,375.4893,1.4657864651944206,456,,0.46209999999999996,10000,10000
jump_ctrl,ewma_student_t,diagnostic,0.15,-1.7803815898244215,1,1392,0.13255391912253311,0.14612317410174708,True,0.0025,0.0078,0.006254775829182485,0.009723232166911556,0.0219,0.0855,0.08017737283371047,0.09114096181558044,0.0745,0.286,0.2772266261978287,0.29493772510482075,0.1392,0.5648,0.5550597791698588,0.5744904546413014,366.8728,1.5066269194739115,431,,0.43520000000000003,10000,10000
jump_ctrl,binary_gaussian,transfer,0.05,-2.2248819931017287,1,303,0.02711656606925434,0.03384416200015925,True,0.0,0.0,0.0,0.00038399837067659573,0.0007,0.004,0.002939013737731544,0.005441912645979639,0.0078,0.0612,0.05666840814896296,0.06606858882114279,0.0303,0.2847,0.2759392290973719,0.29362612060104143,457.5003,0.9126810059669617,,not reached within 504d,0.7153,10000,10000
jump_ctrl,binary_student_t,transfer,0.05,-2.52088337439814,1,316,0.028347190302313426,0.0352125393713364,True,0.0,0.0001,1.765267360112231e-05,0.0005662688974013381,0.0001,0.0049,0.0037086267628327185,0.006471608423811247,0.0084,0.0736,0.068644265639401,0.07888320817111201,0.0316,0.3138,0.30477802412509264,0.32296497686814724,451.9886,0.9582394425648156,,not reached within 504d,0.6861999999999999,10000,10000
jump_ctrl,trailing_sharpe_252,transfer,0.05,-1.6112741416431058,252,347,0.031287811116641966,0.03846953776710967,True,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0046,0.0526,0.0483939705288705,0.057149631213210914,0.0347,0.2669,0.258321014245092,0.2756580057953174,460.6206,0.8337731126177748,,not reached within 504d,0.7331,10000,10000
jump_ctrl,known_vol_rolling_252,transfer,0.05,-1.7610918106628506,252,266,0.023623351594180678,0.02994021806317592,True,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0032,0.0382,0.03461703284432172,0.04213762805083516,0.0266,0.2056,0.19779277691866448,0.21363332132198987,471.0453,0.7466472748268091,,not reached within 504d,0.7944,10000,10000
jump_ctrl,ewma_gaussian,transfer,0.05,-2.716929175661829,1,312,0.02796836833270117,0.034791668539645194,True,0.0,0.0,0.0,0.00038399837067659573,0.0002,0.0023,0.001533154495882851,0.0034490774822886323,0.006,0.0569,0.0525275489648483,0.06161275039124529,0.0312,0.273,0.2643567530453544,0.28181758221493275,460.1404,0.884568965660395,,not reached within 504d,0.727,10000,10000
jump_ctrl,ewma_student_t,transfer,0.05,-2.9295472492107932,1,278,0.024754675024605585,0.031207973036661382,True,0.0,0.0,0.0,0.00038399837067659573,0.0002,0.0036,0.0026016036387784434,0.004979629943629281,0.0065,0.0607,0.05618656282442717,0.06555081814404926,0.0278,0.2765,0.26782081503607924,0.2853508322356132,459.6765,0.8920555369948154,,not reached within 504d,0.7235,10000,10000
jump_ctrl,binary_gaussian,transfer,0.15,-1.401444376765194,1,1285,0.12208342799375609,0.13520188279565662,True,0.0022,0.0074,0.005899086359582839,0.009279228835207744,0.0202,0.075,0.06999923561869643,0.08032716299637867,0.0651,0.2741,0.2654453855259115,0.2829281049379601,0.1285,0.5509,0.5411333981130507,0.5606275108528144,372.3727,1.480503032213659,445,,0.44910000000000005,10000,10000
jump_ctrl,binary_student_t,transfer,0.15,-1.7093797208677135,1,1128,0.10674778186658007,0.11914958647167187,True,0.001,0.0046,0.0034506598701977897,0.006129805715468581,0.0129,0.0656,0.060912364012065776,0.07062125377237806,0.0564,0.2537,0.2452673412800705,0.2623218163173247,0.1128,0.5421,0.5323206758051137,0.5518469915320755,377.7203,1.4465002395731943,455,,0.4579,10000,10000
