detector,day,bin_low,bin_high,n,mean_predicted_q,observed_invalid_frac,gap,scenario,sharpe_valid
binary_gaussian,252,0.1,0.2,284,0.1695433856930219,0.23943661971830985,-0.06989323402528794,sv_jump,0.6
binary_gaussian,252,0.2,0.30000000000000004,1258,0.2611062207649067,0.2742448330683625,-0.01313861230345581,sv_jump,0.6
binary_gaussian,252,0.30000000000000004,0.4,3342,0.3559105140068287,0.3216636744464393,0.03424683956038943,sv_jump,0.6
binary_gaussian,252,0.4,0.5,5051,0.4513661971970581,0.44288259750544445,0.008483599691613664,sv_jump,0.6
binary_gaussian,252,0.5,0.6000000000000001,5176,0.5478073504736021,0.5612442040185471,-0.01343685354494506,sv_jump,0.6
binary_gaussian,252,0.6000000000000001,0.7000000000000001,3295,0.644684306683784,0.6676783004552352,-0.022993993771451282,sv_jump,0.6
binary_gaussian,252,0.7000000000000001,0.8,1236,0.7399855776211632,0.7289644012944984,0.011021176326664883,sv_jump,0.6
binary_gaussian,252,0.8,0.9,317,0.8342311538677114,0.7728706624605678,0.061360491407143614,sv_jump,0.6
binary_gaussian,252,0.9,1.0,24,0.921180769030466,0.875,0.046180769030465973,sv_jump,0.6
binary_gaussian,504,0.0,0.1,193,0.0722300274457836,0.10362694300518134,-0.031396915559397734,sv_jump,0.6
binary_gaussian,504,0.1,0.2,1034,0.1582774766272935,0.18471953578336556,-0.026442059156072062,sv_jump,0.6
binary_gaussian,504,0.2,0.30000000000000004,2147,0.25313168257696494,0.2296227293898463,0.023508953187118653,sv_jump,0.6
binary_gaussian,504,0.30000000000000004,0.4,3149,0.3525471254975386,0.33724992060971737,0.015297204887821214,sv_jump,0.6
binary_gaussian,504,0.4,0.5,3515,0.45094725671922353,0.43157894736842106,0.01936830935080247,sv_jump,0.6
binary_gaussian,504,0.5,0.6000000000000001,3484,0.5497511344313978,0.562284730195178,-0.012533595763780214,sv_jump,0.6
binary_gaussian,504,0.6000000000000001,0.7000000000000001,3034,0.6477730281307187,0.6651285431773236,-0.01735551504660493,sv_jump,0.6
binary_gaussian,504,0.7000000000000001,0.8,2153,0.7451592213327907,0.763585694379935,-0.018426473047144287,sv_jump,0.6
binary_gaussian,504,0.8,0.9,1084,0.8415667655754183,0.8450184501845018,-0.0034516846090835163,sv_jump,0.6
binary_gaussian,504,0.9,1.0,207,0.9259863901789002,0.8695652173913043,0.05642117278759584,sv_jump,0.6
binary_student_t,63,0.1,0.2,2,0.16999580534250863,0.0,0.16999580534250863,sv_jump,0.6
binary_student_t,63,0.2,0.30000000000000004,87,0.28066631511932805,0.3563218390804598,-0.07565552396113173,sv_jump,0.6
binary_student_t,63,0.30000000000000004,0.4,1828,0.3672831839057718,0.3435448577680525,0.023738326137719312,sv_jump,0.6
binary_student_t,63,0.4,0.5,7973,0.4569733263237253,0.43747648313056564,0.01949684319315964,sv_jump,0.6
binary_student_t,63,0.5,0.6000000000000001,8161,0.5426637813303918,0.5599803945594902,-0.017316613229098388,sv_jump,0.6
binary_student_t,63,0.6000000000000001,0.7000000000000001,1843,0.6317659632152589,0.6559956592512208,-0.024229696035961923,sv_jump,0.6
binary_student_t,63,0.7000000000000001,0.8,106,0.7235825549491074,0.6981132075471698,0.025469347401937625,sv_jump,0.6
binary_student_t,126,0.1,0.2,25,0.18094770745746197,0.2,-0.01905229254253804,sv_jump,0.6
binary_student_t,126,0.2,0.30000000000000004,617,0.2672491133196106,0.2739059967585089,-0.006656883438898309,sv_jump,0.6
binary_student_t,126,0.30000000000000004,0.4,2930,0.36128890090098126,0.3348122866894198,0.026476614211561444,sv_jump,0.6
binary_student_t,126,0.4,0.5,6298,0.4529406802582321,0.42362654811051126,0.02931413214772083,sv_jump,0.6
binary_student_t,126,0.5,0.6000000000000001,6475,0.5470752382969932,0.5706563706563706,-0.02358113235937742,sv_jump,0.6
binary_student_t,126,0.6000000000000001,0.7000000000000001,3066,0.6398978181303311,0.6718851924331376,-0.031987374302806515,sv_jump,0.6
binary_student_t,126,0.7000000000000001,0.8,561,0.7317633569468303,0.7112299465240641,0.02053341042276613,sv_jump,0.6
binary_student_t,126,0.8,0.9,28,0.8241979814018572,0.8214285714285714,0.0027694099732857858,sv_jump,0.6
binary_student_t,252,0.0,0.1,10,0.08313189759977963,0.0,0.08313189759977963,sv_jump,0.6
binary_student_t,252,0.1,0.2,340,0.16812624608156504,0.1676470588235294,0.00047918725803564044,sv_jump,0.6
binary_student_t,252,0.2,0.30000000000000004,1602,0.25891954836076564,0.20599250936329588,0.052927038997469755,sv_jump,0.6
binary_student_t,252,0.30000000000000004,0.4,3457,0.35408776236036854,0.31993057564362165,0.03415718671674689,sv_jump,0.6
binary_student_t,252,0.4,0.5,4592,0.4515891468607126,0.429006968641115,0.022582178219597626,sv_jump,0.6
binary_student_t,252,0.5,0.6000000000000001,4602,0.5488151949691741,0.5704041720990873,-0.021588977129913256,sv_jump,0.6
binary_student_t,252,0.6000000000000001,0.7000000000000001,3378,0.6460945235009103,0.6802841918294849,-0.03418966832857451,sv_jump,0.6
binary_student_t,252,0.7000000000000001,0.8,1652,0.741773492816643,0.7887409200968523,-0.046967427280209306,sv_jump,0.6
binary_student_t,252,0.8,0.9,356,0.8337830885154996,0.848314606741573,-0.014531518226073348,sv_jump,0.6
binary_student_t,252,0.9,1.0,11,0.9131520436313072,0.8181818181818182,0.09497022544948897,sv_jump,0.6
binary_student_t,504,0.0,0.1,233,0.07561977095440109,0.03862660944206009,0.036993161512341,sv_jump,0.6
binary_student_t,504,0.1,0.2,1418,0.15797099155912842,0.11988716502115655,0.03808382653797186,sv_jump,0.6
