detector,day,bin_low,bin_high,n,mean_predicted_q,observed_invalid_frac,gap,scenario,brier
ewma_trunc_student_t,126,0.6000000000000001,0.7000000000000001,2487,0.6487703888216767,0.6316847607559308,0.017085628065745873,sv_jump,0.19683203308724442
ewma_trunc_student_t,126,0.7000000000000001,0.8,2062,0.7473045217980033,0.7332686711930165,0.0140358506049868,sv_jump,0.19683203308724442
ewma_trunc_student_t,126,0.8,0.9,1638,0.8469429915880654,0.8241758241758241,0.022767167412241274,sv_jump,0.19683203308724442
ewma_trunc_student_t,126,0.9,1.0,1052,0.9452586396011224,0.9201520912547528,0.025106548346369606,sv_jump,0.19683203308724442
ewma_trunc_student_t,252,0.0,0.1,3014,0.04237157328046769,0.06204379562043796,-0.019672222339970263,sv_jump,0.1580858752716042
ewma_trunc_student_t,252,0.1,0.2,2004,0.1487265511718566,0.17914171656686625,-0.030415165395009658,sv_jump,0.1580858752716042
ewma_trunc_student_t,252,0.2,0.30000000000000004,1774,0.2496955117102689,0.26944757609921083,-0.01975206438894192,sv_jump,0.1580858752716042
ewma_trunc_student_t,252,0.30000000000000004,0.4,1699,0.35006672880318795,0.3761035903472631,-0.02603686154407514,sv_jump,0.1580858752716042
ewma_trunc_student_t,252,0.4,0.5,1590,0.4496023543863237,0.45849056603773586,-0.008888211651412181,sv_jump,0.1580858752716042
ewma_trunc_student_t,252,0.5,0.6000000000000001,1530,0.5500035684911377,0.5444444444444444,0.005559124046693342,sv_jump,0.1580858752716042
ewma_trunc_student_t,252,0.6000000000000001,0.7000000000000001,1659,0.649668613997234,0.6196503918022905,0.030018222194943434,sv_jump,0.1580858752716042
ewma_trunc_student_t,252,0.7000000000000001,0.8,1788,0.7493910589654906,0.7248322147651006,0.024558844200390006,sv_jump,0.1580858752716042
ewma_trunc_student_t,252,0.8,0.9,1990,0.8508878169453494,0.8301507537688442,0.020737063176505255,sv_jump,0.1580858752716042
ewma_trunc_student_t,252,0.9,1.0,2952,0.9576106627113907,0.948170731707317,0.009439931004073698,sv_jump,0.1580858752716042
ewma_trunc_student_t,504,0.0,0.1,5775,0.027395179968872,0.04329004329004329,-0.01589486332117129,sv_jump,0.10734004329716731
ewma_trunc_student_t,504,0.1,0.2,1528,0.14400706130147373,0.19306282722513088,-0.04905576592365715,sv_jump,0.10734004329716731
ewma_trunc_student_t,504,0.2,0.30000000000000004,1083,0.24932826672645725,0.2917820867959372,-0.04245382006947995,sv_jump,0.10734004329716731
ewma_trunc_student_t,504,0.30000000000000004,0.4,872,0.3491250883534963,0.3646788990825688,-0.01555381072907247,sv_jump,0.10734004329716731
