scenario,far_target,kind,sharpe_valid,method_a,method_b,point,lo,hi,excludes_zero,n_reps,interval_type,resampling,note
jump_ctrl,0.05,far_diff,0.6,ewma_trunc_student_t,ewma_student_t,0.000900000000000005,-0.0017999999999999,0.0036024999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
jump_ctrl,0.05,far_diff,0.6,ewma_trunc_student_t,trailing_sharpe_252,0.003700000000000002,-0.0030025,0.0099024999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
jump_ctrl,0.15,detection_diff,1.0,ewma_student_t,binary_student_t,-0.0171999999999999,-0.0245025,-0.0090999999999999,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
jump_ctrl,0.15,detection_diff,0.6,ewma_student_t,binary_student_t,-0.0142999999999999,-0.0229024999999999,-0.0048974999999999,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
jump_ctrl,0.15,gain_change_with_s,0.6-1,ewma_student_t,binary_student_t,0.0029,-0.0067999999999999,0.0127999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
jump_ctrl,0.15,detection_diff,1.0,ewma_trunc_student_t,ewma_student_t,0.0059,0.0006,0.0109,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
jump_ctrl,0.15,detection_diff,0.6,ewma_trunc_student_t,ewma_student_t,0.0048,-9.9999999999989e-05,0.0101999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
jump_ctrl,0.15,gain_change_with_s,0.6-1,ewma_trunc_student_t,ewma_student_t,-0.0010999999999999,-0.0068025,0.0054025,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
jump_ctrl,0.15,detection_diff,1.0,ewma_trunc_student_t,trailing_sharpe_252,0.0443,0.0294999999999999,0.0595999999999999,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
jump_ctrl,0.15,detection_diff,0.6,ewma_trunc_student_t,trailing_sharpe_252,0.0335,0.0202999999999999,0.0506025,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
