scenario,sharpe_valid,method,far_target,threshold_calibrated_over,threshold,far_at_own_H,detect_at_own_H,n_test_valid,note,far_extended_to_d63,detect_extended_to_d63,far_extended_to_d126,detect_extended_to_d126,far_extended_to_d252,detect_extended_to_d252,far_extended_to_d504,detect_extended_to_d504
sv_jump,1.0,binary_gaussian,0.15,126,-0.7946271549963504,0.1374,0.3037,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0668,0.1216,0.1374,0.3037,0.2255,0.5523,0.3084,0.7666
sv_jump,1.0,binary_gaussian,0.15,252,-1.0685597711236916,0.1324,0.4026,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0268,0.0481,0.069,0.1709,0.1324,0.4026,0.2058,0.6667
sv_jump,1.0,binary_student_t,0.05,63,-0.932840791194989,0.0381,0.1084,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0381,0.1084,0.1026,0.3203,0.1782,0.5864,0.2399,0.8
sv_jump,1.0,binary_student_t,0.05,126,-1.2384820584841925,0.0425,0.1634,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.011,0.0308,0.0425,0.1634,0.093,0.4325,0.147,0.7117
sv_jump,1.0,binary_student_t,0.05,252,-1.6449195426431955,0.0374,0.2631,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0017,0.0045,0.0121,0.0564,0.0374,0.2631,0.0765,0.5794
sv_jump,1.0,binary_student_t,0.15,63,-0.6243090583435575,0.1359,0.2862,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.1359,0.2862,0.2319,0.5334,0.315,0.7419,0.3818,0.8816
sv_jump,1.0,binary_student_t,0.15,126,-0.8183638239034476,0.141,0.3931,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0631,0.1589,0.141,0.3931,0.2222,0.6431,0.2846,0.8324
sv_jump,1.0,binary_student_t,0.15,252,-1.0448882315906678,0.1408,0.5289,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0247,0.0688,0.0769,0.2513,0.1408,0.5289,0.1997,0.7706
sv_jump,1.0,ewma_student_t,0.05,63,-1.1806699811750025,0.0421,0.161,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0421,0.161,0.1174,0.3986,0.2064,0.6612,0.269,0.8594
sv_jump,1.0,ewma_student_t,0.05,126,-1.675334347981078,0.0437,0.2354,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0084,0.0507,0.0437,0.2354,0.0995,0.5102,0.1546,0.7787
sv_jump,1.0,ewma_student_t,0.05,252,-2.258364916085747,0.0391,0.3588,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0009,0.0104,0.0128,0.1183,0.0391,0.3588,0.0777,0.6714
sv_jump,1.0,ewma_student_t,0.15,63,-0.7958998033844114,0.1336,0.3306,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.1336,0.3306,0.2508,0.5814,0.3419,0.789,0.4032,0.913
sv_jump,1.0,ewma_student_t,0.15,126,-1.1122987805238473,0.135,0.4291,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0523,0.1845,0.135,0.4291,0.2258,0.6838,0.2889,0.8696
sv_jump,1.0,ewma_student_t,0.15,252,-1.467443756790305,0.1359,0.5716,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0169,0.0843,0.0679,0.2951,0.1359,0.5716,0.1973,0.8146
sv_jump,1.0,ewma_trunc_student_t,0.05,63,-1.1963026661610874,0.0418,0.1669,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0418,0.1669,0.1245,0.4142,0.2147,0.6759,0.2771,0.8687
sv_jump,1.0,ewma_trunc_student_t,0.05,126,-1.734035963997568,0.0422,0.2374,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0078,0.0471,0.0422,0.2374,0.0996,0.5189,0.1548,0.786
sv_jump,1.0,ewma_trunc_student_t,0.05,252,-2.315809090522683,0.0412,0.3748,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0006,0.0093,0.0124,0.1248,0.0412,0.3748,0.0796,0.6866
sv_jump,1.0,ewma_trunc_student_t,0.15,63,-0.8113225986205199,0.1353,0.3379,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.1353,0.3379,0.2573,0.5934,0.3489,0.7966,0.4098,0.9206
sv_jump,1.0,ewma_trunc_student_t,0.15,126,-1.1483776896684814,0.1364,0.4349,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0491,0.1833,0.1364,0.4349,0.2278,0.6909,0.2918,0.8761
sv_jump,1.0,ewma_trunc_student_t,0.15,252,-1.5121247549132382,0.1363,0.5802,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0154,0.0824,0.0683,0.3005,0.1363,0.5802,0.1965,0.8214
sv_jump,0.6,binary_gaussian,0.05,63,-0.5887298918216212,0.0401,0.057,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0401,0.057,0.102,0.1741,0.1965,0.3721,0.3089,0.6008
sv_jump,0.6,binary_gaussian,0.05,126,-0.8037405560397767,0.0445,0.0731,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0135,0.0161,0.0445,0.0731,0.1031,0.2218,0.1945,0.4597
sv_jump,0.6,binary_gaussian,0.05,252,-1.0943704964145997,0.0415,0.1011,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0033,0.0037,0.0132,0.0227,0.0415,0.1011,0.1039,0.2925
sv_jump,0.6,binary_gaussian,0.15,63,-0.36830738558244885,0.1362,0.1858,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.1362,0.1858,0.2484,0.3741,0.3688,0.5837,0.4771,0.7521
