scenario,sharpe_valid,far_target,method,cutoff_H,n_paired_paths,trunc_time_B,trunc_time_A,trunc_time_diff_days,lo,hi,excludes_zero,truncation_cap_days,interval_covers
sv_jump,0.6,0.15,binary_student_t,63,10000,57.7904,62.9587,-5.1683,-5.399133876027124,-4.937466123972877,True,63,"test sampling only, thresholds frozen"
sv_jump,0.6,0.15,binary_student_t,126,10000,112.4663,124.6499,-12.1836,-12.6654061589138,-11.7017938410862,True,126,"test sampling only, thresholds frozen"
sv_jump,0.6,0.15,binary_student_t,252,10000,214.9299,235.4758,-20.5459,-21.347613202278108,-19.74418679772189,True,252,"test sampling only, thresholds frozen"
sv_jump,0.6,0.15,binary_student_t,504,10000,401.9065,401.9065,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
sv_jump,0.6,0.15,ewma_student_t,63,10000,58.1351,62.9697,-4.8346,-5.037261161673348,-4.631938838326652,True,63,"test sampling only, thresholds frozen"
sv_jump,0.6,0.15,ewma_student_t,126,10000,111.9773,123.8016,-11.8243,-12.270953544231274,-11.377646455768724,True,126,"test sampling only, thresholds frozen"
sv_jump,0.6,0.15,ewma_student_t,252,10000,210.8837,229.3776,-18.4939,-19.241346288885453,-17.746453711114548,True,252,"test sampling only, thresholds frozen"
sv_jump,0.6,0.15,ewma_student_t,504,10000,381.1768,381.1768,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
sv_jump,0.6,0.15,ewma_trunc_student_t,63,10000,58.1366,62.9755,-4.8389,-5.039117379019476,-4.638682620980523,True,63,"test sampling only, thresholds frozen"
sv_jump,0.6,0.15,ewma_trunc_student_t,126,10000,111.7951,123.8209,-12.0258,-12.472934836038217,-11.578665163961784,True,126,"test sampling only, thresholds frozen"
sv_jump,0.6,0.15,ewma_trunc_student_t,252,10000,210.5641,228.7459,-18.1818,-18.922578700821983,-17.441021299178015,True,252,"test sampling only, thresholds frozen"
sv_jump,0.6,0.15,ewma_trunc_student_t,504,10000,377.2012,377.2012,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
