scenario,sharpe_valid,method,true_state,day,n_paths,median_q,q10,q90,mean_q
sv_ctrl,0.6,ewma_student_t,invalid,126,10000,0.5448052404416027,0.34879574308205863,0.7495604410546721,0.5462937676463988
sv_ctrl,0.6,ewma_student_t,invalid,252,10000,0.595785603225335,0.3069827806421151,0.8511231358219091,0.5857035244696214
sv_ctrl,0.6,ewma_student_t,invalid,504,10000,0.6961731888065645,0.2853755192243103,0.945644818413892,0.6517112763035491
sv_ctrl,0.6,ewma_trunc_gaussian,valid,63,10000,0.48338151474637475,0.36763439402891407,0.5952269061931524,0.481904366792379
sv_ctrl,0.6,ewma_trunc_gaussian,valid,126,10000,0.46258214862432223,0.28292153596060826,0.6355450648155001,0.461166935186945
sv_ctrl,0.6,ewma_trunc_gaussian,valid,252,10000,0.41483965927230515,0.17675778072862847,0.6779046908537819,0.4229413700429877
sv_ctrl,0.6,ewma_trunc_gaussian,valid,504,10000,0.330416928426641,0.07179774707508411,0.7129266614872988,0.363655422699523
sv_ctrl,0.6,ewma_trunc_gaussian,invalid,63,10000,0.517456430597614,0.3991618545733105,0.6357460243452013,0.5174664188616312
sv_ctrl,0.6,ewma_trunc_gaussian,invalid,126,10000,0.5396316750221339,0.36354561130846647,0.7198746334655781,0.5399622766091376
sv_ctrl,0.6,ewma_trunc_gaussian,invalid,252,10000,0.5798501825227093,0.31990883287812233,0.8295045213976141,0.5771314863782769
sv_ctrl,0.6,ewma_trunc_gaussian,invalid,504,10000,0.6744149320113786,0.29372823649292207,0.9273995313214515,0.639885255271134
sv_ctrl,0.6,ewma_trunc_student_t,valid,63,10000,0.48049017587213516,0.34689803798153857,0.6086704578757562,0.47895212245499735
sv_ctrl,0.6,ewma_trunc_student_t,valid,126,10000,0.45846648696752645,0.2558333357776326,0.6492888726099044,0.45562682125600507
sv_ctrl,0.6,ewma_trunc_student_t,valid,252,10000,0.4054663704195084,0.15315930715104667,0.6918037484305467,0.41474037480645903
sv_ctrl,0.6,ewma_trunc_student_t,valid,504,10000,0.3087527788085191,0.0576558510379588,0.7255228291179867,0.3518965910700597
sv_ctrl,0.6,ewma_trunc_student_t,invalid,63,10000,0.5213224438996971,0.38696230488692185,0.6569518674612997,0.5219617043044069
sv_ctrl,0.6,ewma_trunc_student_t,invalid,126,10000,0.5447842769965601,0.3486949506058703,0.7495921012394139,0.5463588044822191
sv_ctrl,0.6,ewma_trunc_student_t,invalid,252,10000,0.5961060007123307,0.30721368556934703,0.8515728186355783,0.585786612196665
sv_ctrl,0.6,ewma_trunc_student_t,invalid,504,10000,0.6963304062828524,0.284527819872468,0.9457603269736788,0.651837907380255
jump_ctrl,1.0,binary_gaussian,valid,63,10000,0.470225348246201,0.32035825038967036,0.625814693917875,0.47180130630604533
jump_ctrl,1.0,binary_gaussian,valid,126,10000,0.43757258444411595,0.24000221581899644,0.6602681658891454,0.4431871928087345
jump_ctrl,1.0,binary_gaussian,valid,252,10000,0.3730568624421357,0.14112806046808435,0.6850400125254912,0.395679664273303
jump_ctrl,1.0,binary_gaussian,valid,504,10000,0.26826868233881934,0.05588268961284583,0.6879980302526084,0.32226822118097637
jump_ctrl,1.0,binary_gaussian,invalid,63,10000,0.530665280324256,0.3724407578854172,0.6852861171891279,0.5298966460703083
jump_ctrl,1.0,binary_gaussian,invalid,126,10000,0.5645071222743032,0.34079225679652236,0.7603323638461054,0.5566935465943882
jump_ctrl,1.0,binary_gaussian,invalid,252,10000,0.6262695476606865,0.3129127332544914,0.856554917649146,0.6019933203258719
jump_ctrl,1.0,binary_gaussian,invalid,504,10000,0.731755846509111,0.3044617575175894,0.9427742009195655,0.6755017954809512
jump_ctrl,1.0,binary_student_t,valid,63,10000,0.4632692376216153,0.29173357700964736,0.6462119179707999,0.4664593095691911
jump_ctrl,1.0,binary_student_t,valid,126,10000,0.4229547287870907,0.2077626409482684,0.6773655312373923,0.43398791948678755
jump_ctrl,1.0,binary_student_t,valid,252,10000,0.3481916766355835,0.11093493059472459,0.707733760681937,0.380943363724791
jump_ctrl,1.0,binary_student_t,valid,504,10000,0.2294773786079889,0.03515499841866837,0.7047199712396348,0.3015705749160632
