scenario,method,true_state,day,n_paths,mean_q,median_q,q10,q90
jump_ctrl,ewma_trunc_gaussian,valid,126,10000,0.4350767567938921,0.42351199479891816,0.19551942021615465,0.6908133100555762
jump_ctrl,ewma_trunc_gaussian,valid,252,10000,0.38595320512309345,0.3518265568979785,0.10073899945136995,0.7276020653337341
jump_ctrl,ewma_trunc_gaussian,valid,504,10000,0.3134625538698314,0.23032494234804607,0.030906373407183826,0.7426664485673694
jump_ctrl,ewma_trunc_gaussian,invalid,63,10000,0.5348591251792015,0.5376345690672442,0.3541599174537883,0.7101965811551947
jump_ctrl,ewma_trunc_gaussian,invalid,126,10000,0.5644597136562635,0.5738458422776904,0.3096155801988747,0.8022163721130279
jump_ctrl,ewma_trunc_gaussian,invalid,252,10000,0.6127878628324646,0.6426922339997527,0.2782074327401225,0.8959835211803698
jump_ctrl,ewma_trunc_gaussian,invalid,504,10000,0.6876452170031624,0.7664637659386533,0.2637720295395005,0.9683237471877499
jump_ctrl,ewma_trunc_student_t,valid,63,10000,0.4617902944488638,0.459663416206181,0.26979106874012015,0.659190518243461
jump_ctrl,ewma_trunc_student_t,valid,126,10000,0.4273448011781384,0.4150258677514451,0.17542013100912515,0.6980711318137098
jump_ctrl,ewma_trunc_student_t,valid,252,10000,0.37504912916602035,0.3376161659893371,0.08578519537803599,0.7340605000955939
jump_ctrl,ewma_trunc_student_t,valid,504,10000,0.29976168893542615,0.20592637392107827,0.0231850174541074,0.7410238428768681
jump_ctrl,ewma_trunc_student_t,invalid,63,10000,0.5382190436359224,0.542107011313625,0.34517885879770716,0.724122497178658
jump_ctrl,ewma_trunc_student_t,invalid,126,10000,0.5705825003613972,0.5817442905074326,0.3045024245620049,0.816890739663707
jump_ctrl,ewma_trunc_student_t,invalid,252,10000,0.6243965285950357,0.6598267598101364,0.27192553790745755,0.9132913268255196
jump_ctrl,ewma_trunc_student_t,invalid,504,10000,0.7038769030177627,0.7935178210614662,0.27185353177121563,0.9747934383666997
sv_jump,binary_gaussian,valid,63,10000,0.47092385084223853,0.4693095641539057,0.3293931059843915,0.6143267174743496
