scenario,sharpe_valid,method,far_target,arm,cutoff_H,threshold_calibrated_over,threshold,working_prob_threshold,detect,detect_lo,detect_hi,far,far_lo,far_hi,expected_min_tau_H,expected_min_tau_H_se,undetected_at_H,median_first_alarm,median_note,truncation_cap_days,n_test_valid,n_test_invalid
gaussian_ctrl,0.6,binary_student_t,0.15,A,252,504,-1.2060058615975522,0.7695914694136325,0.1464,0.1396071761595279,0.15346438748821462,0.055,0.05070013939854093,0.059641619151361236,240.9655,0.3244119222293294,0.8536,,not reached within 252d,252,10000,10000
gaussian_ctrl,0.6,ewma_student_t,0.15,A,252,504,-1.2681557083803576,0.7804268721382092,0.1381,0.13147686725053268,0.14500107077016303,0.0521,0.04791383183117402,0.05663015390927806,241.4665,0.31805081890688586,0.8619,,not reached within 252d,252,10000,10000
gaussian_ctrl,0.6,ewma_trunc_student_t,0.15,A,252,504,-1.2681557083803576,0.7804268721382092,0.1383,0.1316726841799782,0.14520510024136926,0.0521,0.04791383183117402,0.05663015390927806,241.4591,0.3181360302958111,0.8617,,not reached within 252d,252,10000,10000
gaussian_ctrl,0.6,binary_gaussian,0.15,A,504,504,-0.9782489587601149,0.7267606333482022,0.3771,0.3676497331573493,0.38664465364216294,0.1374,0.13079154559496972,0.14428693002344492,423.0107,1.2647813351459505,0.6229,,not reached within 504d,504,10000,10000
gaussian_ctrl,0.6,binary_student_t,0.15,A,504,504,-1.2060058615975522,0.7695914694136325,0.3557,0.34637421376992733,0.3651366081598499,0.1365,0.12991050416292352,0.1433686626525584,428.4459,1.2294131010267857,0.6443,,not reached within 504d,504,10000,10000
gaussian_ctrl,0.6,ewma_student_t,0.15,A,504,504,-1.2681557083803576,0.7804268721382092,0.3478,0.33852529140756327,0.3571915976964706,0.137,0.13039995958322761,0.1438788232338836,430.7104,1.2115480502447291,0.6522,,not reached within 504d,504,10000,10000
gaussian_ctrl,0.6,ewma_trunc_student_t,0.15,A,504,504,-1.2681557083803576,0.7804268721382092,0.3484,0.3391213133843893,0.3577951149215997,0.137,0.13039995958322761,0.1438788232338836,430.6262,1.21197426355412,0.6516,,not reached within 504d,504,10000,10000
gaussian_ctrl,0.6,binary_gaussian,0.15,B,63,63,-0.39259028813202884,0.5969061026057029,0.2043,0.19651188721466284,0.2123152094217553,0.1354,0.128833808862378,0.14224620274951938,58.3247,0.11093573664408814,0.7957,,not reached within 63d,63,10000,10000
gaussian_ctrl,0.6,binary_student_t,0.15,B,63,63,-0.47679333257248135,0.6169903815878942,0.2041,0.19631483844175868,0.21211241179400775,0.1336,0.12707226342302283,0.14040913058300894,58.4014,0.10949651479693437,0.7959,,not reached within 63d,63,10000,10000
gaussian_ctrl,0.6,ewma_student_t,0.15,B,63,63,-0.491917371820382,0.6205580120133264,0.2049,0.19710305144655924,0.21292358439181405,0.1387,0.13206433230526918,0.14561314491738173,58.3948,0.10916283684704631,0.7951,,not reached within 63d,63,10000,10000
gaussian_ctrl,0.6,ewma_trunc_student_t,0.15,B,63,63,-0.4920361531722275,0.6205859805547507,0.2049,0.19710305144655924,0.21292358439181405,0.1386,0.1319664184933461,0.14551113552897896,58.3922,0.10918191235272673,0.7951,,not reached within 63d,63,10000,10000
gaussian_ctrl,0.6,binary_gaussian,0.15,B,126,126,-0.5362090859506637,0.6309301146900038,0.2483,0.23993015796682376,0.2568631468129748,0.1388,0.13216224730246506,0.1457151531205117,114.0141,0.25177189880505485,0.7517,,not reached within 126d,126,10000,10000
gaussian_ctrl,0.6,binary_student_t,0.15,B,126,126,-0.6554189473236076,0.6582305689779846,0.2412,0.23291545123936452,0.24968330631729768,0.1355,0.1289316841669932,0.14234825064523005,114.5638,0.24472327617983222,0.7588,,not reached within 126d,126,10000,10000
gaussian_ctrl,0.6,ewma_student_t,0.15,B,126,126,-0.6860533601322865,0.6650884027588775,0.2371,0.2288661349141842,0.24553577142911756,0.1349,0.12834445068929393,0.1417359449209741,114.8206,0.24107528552991353,0.7629,,not reached within 126d,126,10000,10000
gaussian_ctrl,0.6,ewma_trunc_student_t,0.15,B,126,126,-0.6861951135156232,0.6651199769934357,0.237,0.22876738438940097,0.24543459875357487,0.1347,0.1281487160047896,0.14153183320482665,114.8167,0.24109558855209678,0.763,,not reached within 126d,126,10000,10000
gaussian_ctrl,0.6,binary_gaussian,0.15,B,252,252,-0.7281279189967593,0.6743943229291887,0.303,0.2940699426831385,0.31208135267490794,0.1395,0.13284768538053285,0.14642917744472497,220.9398,0.5667669539361018,0.6970000000000001,,not reached within 252d,252,10000,10000
gaussian_ctrl,0.6,binary_student_t,0.15,B,252,252,-0.8945261380545353,0.709823324717697,0.2881,0.2793064569428409,0.2970562815666518,0.1362,0.12961684541447105,0.1430625518000332,223.0344,0.5457053977212524,0.7119,,not reached within 252d,252,10000,10000
gaussian_ctrl,0.6,ewma_student_t,0.15,B,252,252,-0.9323414066890794,0.7175500646206263,0.2861,0.2773256604630573,0.29503861403991816,0.1354,0.128833808862378,0.14224620274951938,223.5075,0.5412491010929656,0.7139,,not reached within 252d,252,10000,10000
gaussian_ctrl,0.6,ewma_trunc_student_t,0.15,B,252,252,-0.9323738704677047,0.7175566440721058,0.2862,0.2774246952587414,0.29513950244455983,0.1356,0.12902956069227722,0.14245029732027187,223.482,0.5414699867718038,0.7138,,not reached within 252d,252,10000,10000
gaussian_ctrl,0.6,binary_gaussian,0.15,B,504,504,-0.9782489587601149,0.7267606333482022,0.3771,0.3676497331573493,0.38664465364216294,0.1374,0.13079154559496972,0.14428693002344492,423.0107,1.2647813351459505,0.6229,,not reached within 504d,504,10000,10000
