eval_year,rule,branch,A,rho,loss,rv21_component,acf_abs_component
2020,rolling3y,sv_jump,1.4,0.96,0.8100599268584276,1.4919513683906045,0.12816848532625075
2020,rolling3y,sv_jump,1.4,0.98,1.2932146827262418,2.091978809492776,0.49445055595970755
2020,rolling3y,sv_jump,1.4,0.99,1.6935783534729618,2.4026122012897533,0.9845445056561705
2020,rolling3y,sv_jump,1.6,0.9,1.1510805387841614,1.6502714443039181,0.6518896332644047
2020,rolling3y,sv_jump,1.6,0.94,1.4468797025164075,2.7202882476490413,0.17347115738377358
2020,rolling3y,sv_jump,1.6,0.96,1.75206696877083,3.3299789919518066,0.17415494558985328
2020,rolling3y,sv_jump,1.6,0.98,2.57816740589659,4.537940673914572,0.6183941378786081
2020,rolling3y,sv_jump,1.6,0.99,3.025633995274418,5.045541678917341,1.005726311631495
2020,rolling3y,sv_jump,1.8,0.9,2.0444679933570016,3.428212714519183,0.6607232721948203
2020,rolling3y,sv_jump,1.8,0.94,2.7238131260867724,5.228952111595739,0.2186741405778058
2020,rolling3y,sv_jump,1.8,0.96,3.3314367013485464,6.396792761014825,0.26608064168226775
2020,rolling3y,sv_jump,1.8,0.98,4.638385293956452,8.502070003340988,0.7747005845719157
2020,rolling3y,sv_jump,1.8,0.99,5.123807032441101,9.194382563388091,1.0532315014941112
2020,rolling3y,sv_jump,2.0,0.9,3.508380760078494,6.31695173437926,0.6998097857777281
2020,rolling3y,sv_jump,2.0,0.94,4.742986893838403,9.184585826723499,0.3013879609533089
2020,rolling3y,sv_jump,2.0,0.96,5.623998093906314,10.891318427482476,0.3566777603301516
2020,rolling3y,sv_jump,2.0,0.98,7.604493841632014,14.320302750727734,0.8886849325362934
2020,rolling3y,sv_jump,2.0,0.99,8.367544946103155,15.672996641172903,1.0620932510334076
2020,expanding,sv_only,0.6,0.9,2.3595959483630864,2.2066632273186815,2.5125286694074918
2020,expanding,sv_only,0.6,0.94,2.003509903968205,1.9394427566239667,2.067577051312443
2020,expanding,sv_only,0.6,0.96,1.8644666439638495,1.8526367244254764,1.8762965635022226
2020,expanding,sv_only,0.6,0.98,1.8108922256630602,1.7114390821881627,1.9103453691379577
2020,expanding,sv_only,0.6,0.99,2.0715679507751554,1.8050395191490738,2.338096382401237
2020,expanding,sv_only,0.8,0.9,1.3754120473597746,1.3683933556993935,1.382430739020156
2020,expanding,sv_only,0.8,0.94,0.9858626143488218,1.0904099067917647,0.881315321905879
2020,expanding,sv_only,0.8,0.96,0.8408303656342512,0.9772831670958593,0.7043775641726431
2020,expanding,sv_only,0.8,0.98,0.8486308962975099,0.8596799739070121,0.8375818186880076
2020,expanding,sv_only,0.8,0.99,1.139903167544978,0.9662540000140015,1.3135523350759546
2020,expanding,sv_only,1.0,0.9,0.7069936938156425,0.7111107734243373,0.7028766142069476
2020,expanding,sv_only,1.0,0.94,0.3902664721170024,0.5283760247852934,0.2521569194487114
2020,expanding,sv_only,1.0,0.96,0.32667894318278884,0.4739031785843805,0.17945470778119713
2020,expanding,sv_only,1.0,0.98,0.4234556070301375,0.4320856278989924,0.4148255861612826
2020,expanding,sv_only,1.0,0.99,0.6899885481999708,0.518360618296319,0.8616164781036225
2020,expanding,sv_only,1.2,0.9,0.4217686238883096,0.3931837597914744,0.45035348798514485
2020,expanding,sv_only,1.2,0.94,0.2756752735943156,0.4255549019430939,0.1257956452455373
2020,expanding,sv_only,1.2,0.96,0.3504899809552977,0.520904624249506,0.18007533766108935
2020,expanding,sv_only,1.2,0.98,0.6641221394137224,0.7178168896774206,0.6104273891500244
2020,expanding,sv_only,1.2,0.99,0.9014721873095359,0.7869172994134584,1.0160270752056133
2020,expanding,sv_only,1.4,0.9,0.4975014977181246,0.5471080843002643,0.44789491113598484
2020,expanding,sv_only,1.4,0.94,0.6229947419804026,0.9570519013005728,0.28893758266023234
2020,expanding,sv_only,1.4,0.96,0.8945574312146883,1.2910308016330247,0.4980840607963519
2020,expanding,sv_only,1.4,0.98,1.5026141374434,1.8163978436353376,1.1888304312514624
2020,expanding,sv_only,1.4,0.99,1.786324880032559,1.9899859300535125,1.5826638300116056
2020,expanding,sv_only,1.6,0.9,0.9924905669462549,1.3647497423825927,0.6202313915099172
2020,expanding,sv_only,1.6,0.94,1.464948997236506,2.3505209356492966,0.579377058823715
2020,expanding,sv_only,1.6,0.96,2.051815783979969,3.1427172786870057,0.960914289272932
2020,expanding,sv_only,1.6,0.98,3.0205558266313375,4.154579867533063,1.886531785729612
2020,expanding,sv_only,1.6,0.99,3.476228336540195,4.503157503963936,2.449299169116454
2020,expanding,sv_only,1.8,0.9,1.9606705060802176,3.0906133287687374,0.8307276833916977
2020,expanding,sv_only,1.8,0.94,2.9277716847596613,4.9310618407230535,0.9244815287962688
2020,expanding,sv_only,1.8,0.96,3.8546284515887574,6.230498580117477,1.4787583230600383
2020,expanding,sv_only,1.8,0.98,5.378031304520348,8.120495863745555,2.6355667452951397
2020,expanding,sv_only,1.8,0.99,6.015604904704074,8.618510068572144,3.412699740836004
2020,expanding,sv_only,2.0,0.9,3.4718307172127734,5.875606544325749,1.068054890099798
2020,expanding,sv_only,2.0,0.94,5.080897344546846,8.910555406632605,1.2512392824610878
2020,expanding,sv_only,2.0,0.96,6.451295708588602,11.022127454747839,1.8804639624293646
2020,expanding,sv_only,2.0,0.98,8.726814284636252,14.13486411179313,3.3187644574793724
2020,expanding,sv_only,2.0,0.99,9.622227580236583,14.890153907142613,4.354301253330553
2020,expanding,sv_jump,0.6,0.9,2.559104184983389,1.7734480288713932,3.344760341095385
2020,expanding,sv_jump,0.6,0.94,2.2649549203873027,1.5890960175803202,2.9408138231942855
2020,expanding,sv_jump,0.6,0.96,2.1230953941668798,1.470033218614861,2.7761575697188983
2020,expanding,sv_jump,0.6,0.98,2.0508519294875964,1.3774258344024777,2.724278024572715
2020,expanding,sv_jump,0.6,0.99,2.221387424943848,1.4107703267903993,3.032004523097297
2020,expanding,sv_jump,0.8,0.9,1.673726615718127,1.070745958355024,2.2767072730812297
2020,expanding,sv_jump,0.8,0.94,1.3176060782636339,0.8719828364468487,1.7632293200804192
2020,expanding,sv_jump,0.8,0.96,1.1519537590309281,0.7446678789620597,1.5592396390997967
2020,expanding,sv_jump,0.8,0.98,1.103925920702716,0.6384321504865446,1.5694196909188873
2020,expanding,sv_jump,0.8,0.99,1.3241960186540358,0.6872275093444911,1.9611645279635805
