object,model,period,group,statistics,inside,coverage,w1_to_market,w1_reference,w1_ratio
sp500,stoch_vol,describe,W1 / sim-sim reference,1,,,0.1832139459340679,0.0558997513629316,3.277544916873481
sp500,sv_jump,contrast,volatility range,3,3.0,1.0,,,
sp500,sv_jump,contrast,tails (counts),6,6.0,1.0,,,
sp500,sv_jump,contrast,persistence,5,5.0,1.0,,,
sp500,sv_jump,contrast,concentration,1,1.0,1.0,,,
sp500,sv_jump,contrast,return vs future variance,3,2.0,0.6666666666666666,,,
sp500,sv_jump,contrast,W1 / sim-sim reference,1,,,0.1107395443236382,0.099390247392264,1.1141892411896497
sp500,sv_jump,describe,volatility range,3,2.0,0.6666666666666666,,,
sp500,sv_jump,describe,tails (counts),6,6.0,1.0,,,
sp500,sv_jump,describe,persistence,5,2.0,0.4,,,
sp500,sv_jump,describe,concentration,1,0.0,0.0,,,
sp500,sv_jump,describe,return vs future variance,3,2.0,0.6666666666666666,,,
sp500,sv_jump,describe,W1 / sim-sim reference,1,,,0.135294743015412,0.0674041817780015,2.007215864751699
usdjpy,gaussian,contrast,volatility range,3,0.0,0.0,,,
usdjpy,gaussian,contrast,tails (counts),6,4.0,0.6666666666666666,,,
usdjpy,gaussian,contrast,persistence,5,3.0,0.6,,,
usdjpy,gaussian,contrast,concentration,1,0.0,0.0,,,
usdjpy,gaussian,contrast,return vs future variance,3,3.0,1.0,,,
usdjpy,gaussian,contrast,W1 / sim-sim reference,1,,,0.1413360000302913,0.0509808742446246,2.772333784472001
usdjpy,gaussian,describe,volatility range,3,0.0,0.0,,,
usdjpy,gaussian,describe,tails (counts),6,3.0,0.5,,,
usdjpy,gaussian,describe,persistence,5,2.0,0.4,,,
usdjpy,gaussian,describe,concentration,1,0.0,0.0,,,
usdjpy,gaussian,describe,return vs future variance,3,2.0,0.6666666666666666,,,
usdjpy,gaussian,describe,W1 / sim-sim reference,1,,,0.1384812763398694,0.0319124769420798,4.339408582768702
usdjpy,stoch_vol,contrast,volatility range,3,1.0,0.3333333333333333,,,
usdjpy,stoch_vol,contrast,tails (counts),6,5.0,0.8333333333333334,,,
usdjpy,stoch_vol,contrast,persistence,5,5.0,1.0,,,
usdjpy,stoch_vol,contrast,concentration,1,1.0,1.0,,,
usdjpy,stoch_vol,contrast,return vs future variance,3,3.0,1.0,,,
usdjpy,stoch_vol,contrast,W1 / sim-sim reference,1,,,0.080386751281993,0.0777730659213669,1.033606561984694
usdjpy,stoch_vol,describe,volatility range,3,2.0,0.6666666666666666,,,
usdjpy,stoch_vol,describe,tails (counts),6,6.0,1.0,,,
usdjpy,stoch_vol,describe,persistence,5,4.0,0.8,,,
usdjpy,stoch_vol,describe,concentration,1,1.0,1.0,,,
usdjpy,stoch_vol,describe,return vs future variance,3,3.0,1.0,,,
usdjpy,stoch_vol,describe,W1 / sim-sim reference,1,,,0.0496547206938655,0.0539982704795658,0.9195613165546849
usdjpy,sv_jump,contrast,volatility range,3,1.0,0.3333333333333333,,,
