A,rho,loss,loss_mc_se,is_baseline,scenario,replicate
1.2,0.96,0.3128335519074423,0.010993304287231675,False,A1.4_rho0.96,10
1.4,0.9,0.44051569077926567,0.00888970884279065,False,A1.4_rho0.96,10
1.0,0.98,0.7819496716882947,0.015811068390788274,True,A1.4_rho0.96,10
1.4,0.94,0.13419727947074694,0.006144245546108939,False,A1.4_rho0.96,11
1.2,0.96,0.22830357833702564,0.010094454172421543,False,A1.4_rho0.96,11
1.4,0.96,0.24398816782824148,0.013572936352496115,False,A1.4_rho0.96,11
1.0,0.98,0.9088141421282886,0.021006688879951108,True,A1.4_rho0.96,11
1.6,0.96,0.304684743698885,0.01221040776924927,False,A1.4_rho0.96,12
1.6,0.94,0.3790975913125738,0.012033815911210853,False,A1.4_rho0.96,12
1.8,0.94,0.6247790113714602,0.020129199920283055,False,A1.4_rho0.96,12
1.0,0.98,3.2623222461829195,0.04049106724764703,True,A1.4_rho0.96,12
1.4,0.96,0.14396680635001646,0.0074134200677193765,False,A1.4_rho0.96,13
1.4,0.94,0.15910248230140003,0.007567092816768276,False,A1.4_rho0.96,13
1.6,0.94,0.2711778271552256,0.013247677901689882,False,A1.4_rho0.96,13
1.0,0.98,1.7914537964071542,0.027454468803215885,True,A1.4_rho0.96,13
1.4,0.94,0.09129038233267547,0.00439393892341108,False,A1.4_rho0.96,14
1.4,0.96,0.15459625410439698,0.010535419138745979,False,A1.4_rho0.96,14
1.2,0.96,0.23982543177331306,0.00930856563745705,False,A1.4_rho0.96,14
1.0,0.98,1.0251612420215481,0.02317028574942096,True,A1.4_rho0.96,14
1.4,0.98,0.32517599285200055,0.012469657111720718,False,A1.4_rho0.96,15
1.4,0.96,0.40280893880057145,0.015548139833152145,False,A1.4_rho0.96,15
1.6,0.96,0.46825560835842406,0.018379574987847102,False,A1.4_rho0.96,15
1.0,0.98,2.432376294545623,0.04014089256258566,True,A1.4_rho0.96,15
1.2,0.96,0.19158764027973418,0.008850898056634282,False,A1.4_rho0.96,16
1.4,0.94,0.23785255208303147,0.009515571959451982,False,A1.4_rho0.96,16
1.2,0.94,0.3861656932996258,0.010753364455981292,False,A1.4_rho0.96,16
1.0,0.98,0.8358391297721979,0.018565129784821256,True,A1.4_rho0.96,16
1.6,0.98,0.6882310195687933,0.015198517839911357,False,A1.4_rho0.96,17
1.6,0.96,0.9804355237740677,0.0231793655331012,False,A1.4_rho0.96,17
1.4,0.98,1.1379271460255096,0.025972170172015314,False,A1.4_rho0.96,17
1.0,0.98,5.420533197298711,0.06423407360244085,True,A1.4_rho0.96,17
1.2,0.96,0.3639708617412213,0.007801884939650544,False,A1.4_rho0.96,18
1.2,0.94,0.4933338308278393,0.009671865594473856,False,A1.4_rho0.96,18
1.2,0.98,0.5298631876048416,0.016147464059321204,False,A1.4_rho0.96,18
1.0,0.98,0.64723547604599,0.013348473909009092,True,A1.4_rho0.96,18
1.6,0.94,0.3081908042860208,0.013432947768379755,False,A1.4_rho0.96,19
1.6,0.96,0.3110348024158683,0.015012380886949504,False,A1.4_rho0.96,19
1.4,0.96,0.369209542329128,0.012179273563108436,False,A1.4_rho0.96,19
1.0,0.98,2.8402975339135494,0.04815015588103014,True,A1.4_rho0.96,19
