scenario,scale,statistic,sim_median,sim_p2.5,sim_p97.5,sim_median_mc_se,n_paths,real,real_inside_sim_range
gaussian,native,agg5d_excess_kurtosis,-0.044959973302513,-0.48843036815983815,0.6754562256414263,0.008533813780748446,2000,5.931460248671447,False
gaussian,native,agg5d_n_blocks,251.0,251.0,251.0,0.0,2000,251.0,True
gaussian,native,agg21d_sd,0.028701509058359997,0.023421817512609418,0.034256098158851736,7.649291680750582e-05,2000,0.04209813495638222,False
gaussian,native,agg21d_skewness,0.06126709294501941,-0.5021033224512214,0.6675370147356364,0.008434536474740986,2000,-0.59184386699657,False
gaussian,native,agg21d_excess_kurtosis,-0.17716296117998964,-0.8978964909318423,1.3329505365410796,0.01599960572629372,2000,1.5622695674048126,False
gaussian,native,agg21d_n_blocks,59.0,59.0,59.0,0.0,2000,59.0,True
gaussian,native,w1_vs_market_standardised,0.30178920546173904,0.2831204853627435,0.31992584889691217,0.0002621025805745403,2000,,
gaussian,native,w1_sim_vs_sim_reference,0.031876874683821735,0.020686800116692702,0.0530773294353073,0.0003269806385751139,1000,,
gaussian,matched,sd_daily,0.012104125008820021,0.011646788253099945,0.012599986704877008,6.807533982248765e-06,2000,0.012118087297484344,True
gaussian,matched,skewness,-0.0023924122953293296,-0.13022819696759233,0.14350052274406067,0.0019833729884246327,2000,-0.7389961323250143,False
gaussian,matched,excess_kurtosis,-0.015309893825258492,-0.24173768896580664,0.2826940722902665,0.0038311919078787998,2000,20.367350270538573,False
gaussian,matched,rv21_q10,0.15209624122500126,0.14261817602951693,0.1606756497583312,0.00012965683230281295,2000,0.06272305159358481,False
gaussian,matched,rv21_q50,0.1891194498132654,0.18109509522183348,0.197230245168558,0.000117425281339066,2000,0.11036933306935255,False
gaussian,matched,rv21_q90,0.22878781183958236,0.21807315629595958,0.2408302858445381,0.00016536148527462448,2000,0.24178335481744329,False
gaussian,matched,concentration_max_exceed_63d,1.0,0.0,3.0,0.016823514584732586,2000,16.0,False
gaussian,matched,tail_below_m2_count,28.5,20.0,37.0,0.11725977419454028,2000,37.0,True
gaussian,matched,tail_above_p2_count,29.0,20.0,37.0,0.11786829235264086,2000,18.0,False
gaussian,matched,tail_below_m2_freq,0.022655007949125595,0.01589825119236884,0.029411764705882353,9.321126724526255e-05,2000,0.029411764705882353,True
gaussian,matched,tail_above_p2_freq,0.023052464228934817,0.01589825119236884,0.029411764705882353,9.369498597189258e-05,2000,0.014308426073131956,False
gaussian,matched,tail_below_m3_count,2.0,0.0,4.0,0.034924079270445246,2000,11.0,False
gaussian,matched,tail_above_p3_count,2.0,0.0,4.0,0.035070693072705286,2000,9.0,False
gaussian,matched,tail_below_m3_freq,0.001589825119236884,0.0,0.003179650238473768,2.7761589245186997e-05,2000,0.008744038155802861,False
gaussian,matched,tail_above_p3_freq,0.001589825119236884,0.0,0.003179650238473768,2.7878134398016922e-05,2000,0.007154213036565978,False
gaussian,matched,tail_below_m5_count,0.0,0.0,0.0,0.0,2000,3.0,False
gaussian,matched,tail_above_p5_count,0.0,0.0,0.0,0.0006266500000000002,2000,4.0,False
gaussian,matched,tail_below_m5_freq,0.0,0.0,0.0,0.0,2000,0.0023847376788553257,False
gaussian,matched,tail_above_p5_freq,0.0,0.0,0.0,4.981319554848965e-07,2000,0.003179650238473768,False
gaussian,matched,acf_ret_lag1,-0.0010062202412373922,-0.05729148714708167,0.05297515424099806,0.0007951342116965338,2000,-0.24396953335811908,False
gaussian,matched,acf_ret_lag5,-0.0021403390864422568,-0.05578506241105667,0.05181720370533686,0.0007846744476291509,2000,0.07865234975544919,False
gaussian,matched,acf_ret_lag10,-0.000983019450565677,-0.05543643955118584,0.055391800787570396,0.0007809894081553251,2000,-0.07868045072246492,False
gaussian,matched,acf_ret_lag21,-0.0011168032104691568,-0.05573126811011609,0.05493430553098702,0.0008011097018596777,2000,0.06479069799423903,False
gaussian,matched,acf_ret_lag63,-0.00044555851394888473,-0.056224970884286525,0.058127110586683926,0.0008183155697124592,2000,0.06187167625917269,False
gaussian,matched,acf_absret_lag1,-0.0018364987699979634,-0.0566340773040331,0.05473928029772158,0.0007867526623837264,2000,0.5007227427362637,False
gaussian,matched,acf_absret_lag5,-0.0006531282332656301,-0.05375866896739775,0.054002301953544087,0.000764509827284054,2000,0.4146461452146091,False
gaussian,matched,acf_absret_lag10,-0.0004989567368506846,-0.05445577262199591,0.05587533621112469,0.0007918657063497721,2000,0.3659590462564185,False
gaussian,matched,acf_absret_lag21,-0.000673081621760756,-0.05488596609033074,0.054184158263222634,0.0007781086392857162,2000,0.15840447240997177,False
gaussian,matched,acf_absret_lag63,-0.00025948212425916026,-0.05462497243081296,0.05663985613831999,0.0007953429137437286,2000,0.039974696337049836,True
gaussian,matched,acf_sqret_lag1,-0.002437921623377548,-0.05301942397684886,0.05841405711385769,0.0007909985133801359,2000,0.5332894519731963,False
gaussian,matched,acf_sqret_lag5,-0.002238987191610051,-0.05239253154493254,0.05589249595480032,0.000772296943088967,2000,0.33648374197445374,False
gaussian,matched,acf_sqret_lag10,-0.0014019576914737508,-0.051858129777916075,0.05836603556813159,0.000791032423571637,2000,0.25860000769071245,False
gaussian,matched,acf_sqret_lag21,-0.001407461689469583,-0.05499229260735074,0.05741528714231114,0.0007852623281941327,2000,0.04858286728322976,True
gaussian,matched,acf_sqret_lag63,-0.0014471727617007936,-0.05236090703317514,0.058659322407017975,0.0008061101330030617,2000,0.037394822586824354,True
gaussian,matched,leadlag_ret_vs_future_sq_lag1,1.7097501315277694e-05,-0.052986288270433404,0.05458207919366013,0.0007730238325689205,2000,-0.09471016076162476,False
gaussian,matched,leadlag_ret_vs_future_sq_lag5,0.0006712965025661826,-0.056786062220274415,0.05697551878793228,0.0008147094204438407,2000,-0.06824443785000317,False
gaussian,matched,leadlag_ret_vs_future_sq_lag21,0.0006413197707772775,-0.05645160935153744,0.056921208274806394,0.0008103087735602187,2000,-0.05072095039065012,True
gaussian,matched,agg1d_sd,0.012104125008820021,0.011646788253099945,0.012599986704877008,6.807533982248765e-06,2000,0.012118087297484344,True
gaussian,matched,agg1d_skewness,-0.0023924122953293296,-0.13022819696759233,0.14350052274406067,0.0019833729884246327,2000,-0.7389961323250143,False
gaussian,matched,agg1d_excess_kurtosis,-0.015309893825258492,-0.24173768896580664,0.2826940722902665,0.0038311919078787998,2000,20.367350270538573,False
gaussian,matched,agg1d_n_blocks,1258.0,1258.0,1258.0,0.0,2000,1258.0,True
