object,model,period,statistic,real,sim_median,sim_p2.5,sim_p97.5,real_inside_sim_range,n_days,sigma_annual,comparison
sp500,stoch_vol,contrast,rv21_q50_over_own_sd,0.9099154241690184,0.8476365068576632,0.6016710561519775,0.9806079527638704,True,501,0.19236867212948663,"shape (each series divided by its own annualised sd, inside the path)"
sp500,stoch_vol,contrast,rv21_q90_over_own_sd,1.4693326573061092,1.4628495582696415,1.2573565324941476,1.7618158001543514,True,501,0.19236867212948663,"shape (each series divided by its own annualised sd, inside the path)"
sp500,stoch_vol,contrast,w1_vs_market_standardised,,0.06889606320572779,0.04052692351631975,0.16835491250622034,,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,w1_sim_vs_sim_reference,,0.07651159049981295,0.04282526278675151,0.17554113048553535,,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,tail_below_m2_count,15.0,14.0,9.0,19.0,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,tail_below_m3_count,3.0,3.0,0.0,7.0,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,tail_below_m5_count,0.0,0.0,0.0,2.0,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,tail_above_p2_count,14.0,14.0,8.0,20.0,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,tail_above_p3_count,1.0,3.0,0.0,7.0,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,tail_above_p5_count,0.0,0.0,0.0,1.0,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,tail_below_m2_freq,0.029940119760479042,0.027944111776447105,0.017964071856287425,0.03792415169660679,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,tail_below_m3_freq,0.005988023952095809,0.005988023952095809,0.0,0.013972055888223553,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,tail_below_m5_freq,0.0,0.0,0.0,0.003992015968063872,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,tail_above_p2_freq,0.027944111776447105,0.027944111776447105,0.015968063872255488,0.03992015968063872,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,tail_above_p3_freq,0.001996007984031936,0.005988023952095809,0.0,0.013972055888223553,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,tail_above_p5_freq,0.0,0.0,0.0,0.001996007984031936,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,acf_absret_lag1,0.050493899503632825,0.20909581782419395,0.0595105168136746,0.3981050966532637,False,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,acf_absret_lag5,0.20268576874664154,0.18492083122316247,0.040594369129943055,0.3669395730658979,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,acf_absret_lag10,0.15515220151370876,0.15737154772228934,0.016135754174245388,0.3490509586720582,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,acf_absret_lag21,0.06706339274911602,0.10543216251411061,-0.017131576837188647,0.2886975252407385,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,acf_absret_lag63,0.09074437280271565,0.016081455671897997,-0.10164928202474105,0.17561092193848502,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,concentration_max_exceed_63d,2.0,4.0,1.0,10.0,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,leadlag_ret_vs_future_sq_lag1,-0.002306844301550615,0.004936931440687272,-0.1475800040938534,0.14418465645920742,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,leadlag_ret_vs_future_sq_lag5,-0.12540398630140218,0.0017504048202331766,-0.13513332512418852,0.1326215502926627,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,leadlag_ret_vs_future_sq_lag21,-0.005436194144654863,0.0005159244059201711,-0.1162201045500755,0.10944177366165869,True,501,0.19236867212948663,scale-free
sp500,stoch_vol,contrast,sd_daily,0.012267871956501381,0.01144394235985226,0.00727418104178868,0.018150899310276577,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,rv21_q10,0.1014253090749568,0.0792020527682806,0.047314182428872656,0.13248415917924702,True,501,0.19236867212948663,level (both sides at the frozen sigma_annual)
sp500,sv_jump,contrast,rv21_q50,0.17720278034722028,0.1449495319375675,0.09401599823410733,0.2294494965146422,True,501,0.19236867212948663,level (both sides at the frozen sigma_annual)
sp500,sv_jump,contrast,rv21_q90,0.28614728931251504,0.2711146247730472,0.16837318107661367,0.4481968775891414,True,501,0.19236867212948663,level (both sides at the frozen sigma_annual)
sp500,sv_jump,contrast,rv21_q10_over_own_sd,0.5208070265465268,0.4463981468672038,0.2625876775918121,0.6199909647002774,True,501,0.19236867212948663,"shape (each series divided by its own annualised sd, inside the path)"
sp500,sv_jump,contrast,rv21_q50_over_own_sd,0.9099154241690184,0.810180830906697,0.5966680176238884,0.9641180516332454,True,501,0.19236867212948663,"shape (each series divided by its own annualised sd, inside the path)"
sp500,sv_jump,contrast,rv21_q90_over_own_sd,1.4693326573061092,1.4856027810909747,1.2150799741604292,1.8014446991576005,True,501,0.19236867212948663,"shape (each series divided by its own annualised sd, inside the path)"
sp500,sv_jump,contrast,w1_vs_market_standardised,,0.11098514709251264,0.048407046712728156,0.24971096314388302,,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,w1_sim_vs_sim_reference,,0.10160690981369352,0.04957890080435553,0.22418665653932454,,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,tail_below_m2_count,15.0,12.0,5.0,18.0,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,tail_below_m3_count,3.0,3.0,1.0,7.0,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,tail_below_m5_count,0.0,1.0,0.0,3.0,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,tail_above_p2_count,14.0,12.0,5.0,18.0,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,tail_above_p3_count,1.0,3.0,1.0,7.0,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,tail_above_p5_count,0.0,1.0,0.0,3.0,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,tail_below_m2_freq,0.029940119760479042,0.023952095808383235,0.00998003992015968,0.03592814371257485,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,tail_below_m3_freq,0.005988023952095809,0.005988023952095809,0.001996007984031936,0.013972055888223553,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,tail_below_m5_freq,0.0,0.001996007984031936,0.0,0.005988023952095809,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,tail_above_p2_freq,0.027944111776447105,0.023952095808383235,0.00998003992015968,0.03592814371257485,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,tail_above_p3_freq,0.001996007984031936,0.005988023952095809,0.001996007984031936,0.013972055888223553,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,tail_above_p5_freq,0.0,0.001996007984031936,0.0,0.005988023952095809,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,acf_absret_lag1,0.050493899503632825,0.15625965911096298,0.01963794726616639,0.3622328794595293,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,acf_absret_lag5,0.20268576874664154,0.14191711655901645,0.005861051550554396,0.32776542970608175,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,acf_absret_lag10,0.15515220151370876,0.11532626340700525,-0.011478108223831789,0.2928704043574503,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,acf_absret_lag21,0.06706339274911602,0.07976414396896198,-0.03216380808391349,0.24748735872318936,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,acf_absret_lag63,0.09074437280271565,0.007985435254343577,-0.09298644671128056,0.14818959154235634,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,concentration_max_exceed_63d,2.0,4.0,1.0,9.0,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,leadlag_ret_vs_future_sq_lag1,-0.002306844301550615,-0.002454482356870855,-0.11889135822786592,0.12284010261043586,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,leadlag_ret_vs_future_sq_lag5,-0.12540398630140218,-0.0008839340246365717,-0.11495231063029551,0.11738619954585883,False,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,leadlag_ret_vs_future_sq_lag21,-0.005436194144654863,-0.0018816033717047403,-0.10049271269486668,0.101014106309932,True,501,0.19236867212948663,scale-free
sp500,sv_jump,contrast,sd_daily,0.012267871956501381,0.01149046964127413,0.007771994642772597,0.01751407918030604,True,501,0.19236867212948663,scale-free
nasdaq100,gaussian,describe,rv21_q10,0.0908520696517382,0.1789489143832766,0.16770575074315683,0.18928142130832235,False,1258,0.22616448309739204,level (both sides at the frozen sigma_annual)
nasdaq100,gaussian,describe,rv21_q50,0.15585600633239455,0.22241056831273648,0.21267390428262073,0.23238580634442846,False,1258,0.22616448309739204,level (both sides at the frozen sigma_annual)
nasdaq100,gaussian,describe,rv21_q90,0.31210529282050437,0.26909007234155263,0.2562555625135854,0.28302428323246465,False,1258,0.22616448309739204,level (both sides at the frozen sigma_annual)
